id,name,cuis
OMIM:608762,"EPILEPSY, IDIOPATHIC GENERALIZED, SUSCEPTIBILITY TO, 3; EIG3",['C1837468']
OMIM:241080,WOODHOUSE-SAKATI SYNDROME,['C0342286']
OMIM:300489,"SPINAL MUSCULAR ATROPHY, DISTAL, X-LINKED 3; SMAX3",['C1845359']
OMIM:234750,"HEART, MALFORMATION OF",['C0018798']
DOID:13389,labia majora carcinoma,['C1334356']
OMIM:617236,CONE-ROD DYSTROPHY AND HEARING LOSS; CRDHL,"['C2669516', 'C4310657']"
HP:0000996,Facial capillary hemangioma,['C1858545']
DOID:0110166,Charcot-Marie-Tooth disease axonal type 2H,"['C0007959', 'C0004461', 'C0457464', 'C1547052']"
HP:0010010,Abnormality of the 2nd metacarpal,['C4024113']
OMIM:609923,RETINITIS PIGMENTOSA 31; RP31,['C1835923']
HP:0031185,Increased NT-proBNP level,['C4477024']
HP:0010232,Fragmentation of the epiphyses of the phalanges of the hand,['C4021308']
DOID:11171,urethral condylomata acuminata,['C1336883']
DOID:3201,sympathetic neurilemmoma,['C1336543']
OMIM:610460,"THIOPURINES, POOR METABOLISM OF, 1; THPM1",['C0342801']
HP:0000463,Anteverted nares,['C1840077']
DOID:6048,telangiectatic glomangioma,['C1336699']
DOID:12713,medullary sponge kidney,['C0022681']
HP:0040295,Duplication of the upper lip,['C4477035']
HP:0009412,Cone-shaped epiphyses of the 3rd finger,['C4024381']
OMIM:279000,YOUNG SYNDROME,['C0340037']
OMIM:259270,"OSTEODYSPLASTY, PRECOCIOUS, OF DANKS, MAYNE, AND KOZLOWSKI","['C1850185', 'C2323627']"
DOID:1802,mononeuritis,['C0235880']
OMIM:146810,IMMUNE RESPONSE TO SYNTHETIC POLYPEPTIDE--IRPHEGAL; IPHEG,['C1840268']
HP:0005537,Decreased mean platelet volume,"['C1096368', 'C1833182']"
HP:0100620,Germinoma,['C0206660']
HP:0004879,Intermittent hyperventilation,['C1828017']
HP:0009229,Curved proximal phalanx of the 5th finger,['C4024515']
OMIM:126100,"DIMPLES, FACIAL",['C1852076']
OMIM:166400,OSTEOMAS OF MANDIBLE,['C1833733']
HP:0006011,Cuboidal metacarpal,['C4025093']
OMIM:243200,"INTRACRANIAL HYPERTENSION, IDIOPATHIC",['C0033845']
HP:0008855,Moderate postnatal growth retardation,['C4024616']
OMIM:256700,"NEUROBLASTOMA, SUSCEPTIBILITY TO",['C2749484']
DOID:4003,Schneiderian carcinoma,['C0334270']
HP:0009251,Bracket epiphysis of the distal phalanx of the 4th finger,['C4024496']
OMIM:268040,RETINOHEPATOENDOCRINOLOGIC SYNDROME,['C1849399']
DOID:0070061,autosomal dominant non-syndromic intellectual disability 31,"['C0596142', 'C1527180', 'C1518422', 'C3714756', 'C0453879']"
OMIM:300590,CORNELIA DE LANGE SYNDROME 2; CDLS2,['C1802395']
HP:0100626,Chronic hepatic failure,['C2936476']
HP:0007021,Pain insensitivity,['C0344307']
HP:0009758,Pyramidal skinfold extending from the base to the top of the nails,['C4024212']
HP:0000962,Hyperkeratosis,['C0870082']
HP:0007770,Hypoplasia of the retina,['C1854685']
OMIM:610247,"ESOPHAGITIS, EOSINOPHILIC, 1; EOE1",['C0341106']
HP:0030807,Abnormal nail growth,['C1610609']
OMIM:150699,"LEIOMYOMA, UTERINE; UL","['C0589750', 'C0042133', 'C1072072']"
HP:0100566,Amyelia,['C0266510']
OMIM:600383,MESOMELIA-SYNOSTOSES SYNDROME,['C1838162']
HP:0030753,Intrauterine fetal demise of one twin after midgestation,['C4280785']
OMIM:615877,MICROPHTHALMIA/COLOBOMA AND SKELETAL DYSPLASIA SYNDROME; MCSKS,['C4014540']
DOID:866,vein disease,['C0155774']
DOID:339,accessory nerve disease,['C0152180']
OMIM:611808,"TREMOR, HEREDITARY ESSENTIAL, AND IDIOPATHIC NORMAL PRESSURE HYDROCEPHALUS; ETINPH",['C2678494']
HP:0006872,Cerebral hypoplasia,['C1855330']
DOID:2279,joint derangement,['C0158140']
HP:0012589,Multidrug-resistant nephrotic syndrome,['C4022834']
DOID:0110904,inflammatory bowel disease 8,"['C1847719', 'C1426798']"
DOID:0110886,inflammatory bowel disease 9,"['C1838019', 'C1426799']"
HP:0011825,Tented philtrum,['C4021119']
OMIM:600101,"DEAFNESS, AUTOSOMAL DOMINANT 2A; DFNA2A",['C2677637']
OMIM:102510,ACROPECTOROVERTEBRAL DYSPLASIA; ACRPV,['C1863307']
HP:0010742,Edema of the upper limbs,['C0522035']
DOID:12369,prolapse of urethra,['C0238502']
OMIM:616247,LONG QT SYNDROME 14; LQT14,['C4015671']
OMIM:312000,"PANHYPOPITUITARISM, X-LINKED; PHPX",['C0342376']
DOID:9265,histidine metabolism disease,['C0268512']
DOID:4285,"complications of pregnancy, childbirth and the puerperium","['C0009566', 'C0032961', 'C0005615', 'C1148523', 'C0034042']"
HP:0002795,Functional respiratory abnormality,['C4025677']
HP:0005759,Small flat posterior fossa,['C4025141']
DOID:3861,medullomyoblastoma,['C0205833']
HP:0031291,Ichthyosis follicularis,['C0020757']
DOID:0110720,neuronal ceroid lipofuscinosis 4B,"['C0027877', 'C0027877']"
DOID:10206,lipoma of spermatic cord,['C0153972']
HP:0009697,Contracture of the distal interphalangeal joint of the fingers,['C4024230']
OMIM:610688,JOUBERT SYNDROME 6; JBTS6,['C1853153']
OMIM:605724,"FANCONI ANEMIA, COMPLEMENTATION GROUP D1; FANCD1",['C1838457']
OMIM:613793,"BLOOD GROUP, CROMER SYSTEM; CROM",['C1292305']
DOID:9155,mucocutaneous leishmaniasis,['C1328252']
DOID:5048,posterior pituitary gland neoplasm,['C1334957']
HP:0012770,Reduced arm span,['C4022730']
OMIM:314050,"THROMBOCYTOPENIA WITH BETA-THALASSEMIA, X-LINKED; XLTT",['C1839161']
OMIM:617710,"NEURODEVELOPMENTAL DISORDER, MITOCHONDRIAL, WITH ABNORMAL MOVEMENTS AND LACTIC ACIDOSIS, WITH OR WITHOUT SEIZURES; NEMMLAS","['C1535926', 'C0026237', 'C0558189', 'C0001125', 'C0036572', 'C0521451', 'C0013384']"
OMIM:613852,FUCOSYLTRANSFERASE 6 DEFICIENCY,['C3151219']
HP:0000418,Narrow nasal ridge,['C1837761']
HP:0004404,Abnormal nipple morphology,['C3839073']
DOID:13112,mechanical entropion,['C0155189']
HP:0025092,Epidermal acanthosis,['C0221270']
OMIM:103300,HYPOGLOSSIA-HYPODACTYLIA,['C1863203']
DOID:0110418,retinitis pigmentosa Y-linked,"['C0035334', 'C3821134']"
HP:0100816,Lip hyperpigmentation,['C4021963']
OMIM:605606,"PSORIASIS 7, SUSCEPTIBILITY TO; PSORS7",['C1854124']
HP:0005905,Abnormal cervical curvature,['C3151523']
OMIM:309530,"MENTAL RETARDATION, X-LINKED 1; MRX1",['C2931498']
DOID:0060573,von Willebrand's disease 1,[' C1264039']
HP:0010208,Patchy sclerosis of proximal toe phalanx,['C4021313']
OMIM:608355,PARKES WEBER SYNDROME,['C0038505']
OMIM:186350,SYNDACTYLY-POLYDACTYLY-EARLOBE SYNDROME,['C1861347']
HP:0010913,Hyperisoleucinemia,['C4023657']
OMIM:616657,"SPASTIC TETRAPLEGIA, THIN CORPUS CALLOSUM, AND PROGRESSIVE MICROCEPHALY; SPATCCM",['C4225254']
OMIM:617412,"BRACHYCEPHALY, TRICHOMEGALY, AND DEVELOPMENTAL DELAY; BTDD",['C4479431']
OMIM:613391,"DEAFNESS, AUTOSOMAL RECESSIVE 84A; DFNB84A",['C3150654']
DOID:0111088,Fanconi anemia complementation group F,"['C0015625', 'C0441840', 'C0015625']"
DOID:6211,mixed epithelial tumor of ovary,['C0346166']
HP:0009534,Triangular epiphysis of the proximal phalanx of the 2nd finger,['C4021454']
OMIM:611377,"BRACHYDACTYLY, TYPE B2; BDB2",['C1969652']
DOID:3648,inborn errors pyruvate metabolism,['C0034350']
HP:0004305,Involuntary movements,['C0235086']
HP:0010713,1-5 toe syndactyly,['C4021235']
OMIM:617113,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 43; EIEE43",['C4310712']
DOID:4025,steatitis,['C0038235']
OMIM:610915,"OSTEOGENESIS IMPERFECTA, TYPE VIII; OI8",['C1970458']
DOID:3984,Strongylus equinus infectious disease,"['C0321072', 'C0009450']"
OMIM:159100,"MUSCULAR HYPOPLASIA, CONGENITAL UNIVERSAL, OF KRABBE",['C1834651']
HP:0040198,Non-medullary thyroid carcinoma,['C3501843']
OMIM:615162,"MENTAL RETARDATION, AUTOSOMAL RECESSIVE 35; MRT35",['C3554609']
DOID:0060320,inguinal hernia,"['C0019295', 'C0019294', 'C0019296']"
DOID:0060019,coronin-1A deficiency,"['C1413622', 'C0011155', 'C1098824']"
HP:0031024,Cylindroma,['C1305968']
DOID:1511,residual schizophrenia chronic state with acute exacerbation,"['C0036351', 'C0205191', 'C1442792', 'C0743630', 'C0221765', 'C0205347', 'C0205178']"
DOID:13005,intra-abdominal lymph node mast cell malignancy,['C0153844']
DOID:0110526,autosomal recessive nonsyndromic deafness 79,"['C2677304', 'C1415078', 'C0596142', 'C0011053']"
HP:0100335,Non-midline cleft lip,['C4021020']
DOID:5768,Nager acrofacial dysostosis,['C1332140']
DOID:10881,"hand, foot and mouth disease",['C0018572']
DOID:9722,ophthalmia nodosa,['C0154775']
DOID:14099,acquired gastric outlet stenosis,['C0700588']
HP:0006381,Rudimentary fibula,['C1844706']
DOID:0050683,Bothnia retinal dystrophy,"['C1843816', 'C0854723']"
DOID:12522,bagassosis,['C0004681']
DOID:11387,epidural abscess,['C0270629']
DOID:0080137,multiple endocrine neoplasia type 4,"['C0027662', 'C0441732']"
DOID:9422,abscess of eyelid,"['C0000833', 'C1280734']"
OMIM:256200,NEPHROSIS WITH DEAFNESS AND URINARY TRACT AND DIGITAL MALFORMATIONS,['C1850552']
DOID:401,multidrug-resistant tuberculosis,['C0206526']
HP:0000048,Bifid scrotum,['C0341787']
OMIM:275595,"TRIGONOBRACHYCEPHALY, BULBOUS BIFID NOSE, MICROGNATHIA, AND ABNORMALITIES OF THE HANDS AND FEET",['C1848743']
DOID:8687,skin carcinoma in situ,"['C0154077', 'C0154079', 'C0154078', 'C0347139']"
DOID:7693,abdominal aortic aneurysm,['C0162871']
DOID:5162,arteriolosclerosis,['C0878486']
OMIM:608028,THAI SYMPHALANGISM SYNDROME,['C1842679']
OMIM:601319,ODONTOMICRONYCHIAL DYSPLASIA,['C1832473']
HP:0025313,Exophoria,['C0152217']
HP:0008007,Primary congenital glaucoma,['C1533041']
DOID:0080118,mitochondrial complex III deficiency nuclear type 9,"['C0026237', 'C0342778', 'C0521447', 'C0521451', 'C0342778', 'C0521447', 'C1547052']"
DOID:10932,obsessive-compulsive personality disorder,['C0009595']
HP:0000706,Unerupted tooth,['C1290587']
HP:0007133,Progressive peripheral neuropathy,['C1859178']
HP:0025113,Misophonia,['C4324623']
OMIM:609438,"MENTAL RETARDATION, KERATOCONUS, FEBRILE SEIZURES, AND SINOATRIAL BLOCK",['C1836202']
HP:0007156,Asymmetric limb muscle stiffness,['C4024931']
OMIM:312500,"RETICULOENDOTHELIOSIS, X-LINKED",['C0035288']
DOID:5678,nerve fibre bundle defect,['C0474334']
HP:0040317,Blue urine,['C4477103']
DOID:5680,embryonal testis carcinoma,['C0238448']
HP:0004980,Metaphyseal rarefaction,['C1832146']
HP:0000103,Polyuria,['C0032617']
DOID:6003,aleukemic leukemia cutis,['C0887846']
HP:0000413,Atresia of the external auditory canal,"['C1398325', 'C1866190', 'C1857079', 'C1840305']"
DOID:5000,cutaneous syphilis,['C0039132']
HP:0100954,Open operculum,['C2675973']
DOID:8656,Sezary's disease involving lymph nodes of multiple sites,"['C0036920', 'C0024204', 'C0439064', 'C0205145']"
OMIM:613912,COMPLEMENT FACTOR D DEFICIENCY; CFDD,['C0398764']
HP:0011516,Achromatopsia,['C0302129']
OMIM:606258,STATURE QUANTITATIVE TRAIT LOCUS 4; STQTL4,['C1853474']
HP:0100665,Angioedema,['C0002994']
HP:0007314,White matter neuronal heterotopia,['C1855774']
HP:0007364,Aplasia/Hypoplasia of the cerebrum,['C4024902']
OMIM:172700,PICK DISEASE OF BRAIN,['C0236642']
HP:0004820,Acute myelomonocytic leukemia,['C0023479']
OMIM:300018,"46,XY SEX REVERSAL 2; SRXY2",['C1848296']
OMIM:601344,"SPINAL DYSPLASIA, ANHALT TYPE",['C1832464']
DOID:5044,cardiac granular cell neoplasm,['C1332845']
DOID:8433,thyroid malformation,['C0877367']
HP:0011769,Ectopic parathyroid,['C4023196']
DOID:0002116,pterygium,['C0033999']
DOID:4012,papillary transitional carcinoma,['C0334274']
HP:0007985,Retinal arteriolar occlusion,['C4024761']
DOID:0111029,hemochromatosis type 1,"['C1384665', 'C0441729']"
HP:0002176,Spinal cord compression,['C0037926']
DOID:0050734,congenital intrinsic factor deficiency,"['C1394891', 'C0021918', 'C0333006']"
HP:0030930,1-minute APGAR score of 3,['C4476860']
DOID:0110648,long QT syndrome 6,"['C3150953', 'C0023976']"
HP:0007634,Nonarteritic anterior ischemic optic neuropathy,['C1852242']
HP:0000154,Wide mouth,['C0024433']
DOID:8886,chorioretinitis,['C0008513']
DOID:0050072,adiaspiromycosis,['C0259737']
OMIM:609153,"PSEUDOHYPERKALEMIA, FAMILIAL, 2, DUE TO RED CELL LEAK; PSHK2",['C1836705']
OMIM:307200,"ISOLATED GROWTH HORMONE DEFICIENCY, TYPE III; IGHD3",['C0472813']
OMIM:615789,SHORT STATURE WITH MICROCEPHALY AND DISTINCTIVE FACIES,['C4014339']
HP:0004440,Coronal craniosynostosis,['C1856266']
DOID:6023,metastasis to the parathyroid gland,"['C2939419', 'C1518895', 'C0030518']"
DOID:4152,chondroid chordoma,['C1266173']
HP:0100072,Ivory epiphyses of the 4th toe,['C4022349']
DOID:6419,tetralogy of Fallot,['C0039685']
HP:0002160,Hyperhomocystinemia,['C3806347']
HP:0007903,Paravenous chorioretinal atrophy,['C4072868']
HP:0009130,Hand muscle atrophy,['C0239830']
DOID:6229,childhood mature teratoma of the ovary,['C1332991']
DOID:0090143,brachyolmia-amelogenesis imperfecta syndrome,"['C0432228', 'C0002452', 'C0039082']"
HP:0000727,Frontal lobe dementia,['C0338455']
DOID:3296,infectious ectromelia,['C0013591']
OMIM:613162,"SPASTIC PARAPLEGIA 45, AUTOSOMAL RECESSIVE; SPG45",['C3888209']
HP:0006949,Episodic peripheral neuropathy,['C1848695']
OMIM:161500,"NASAL GROOVE, FAMILIAL TRANSVERSE",['C1834370']
HP:0040148,Cortical myoclonus,['C3698239']
HP:3000039,Abnormality of dorsal nasal artery,['C4073247']
DOID:5549,CNS choriocarcinoma,"['C3714787', 'C0008497', 'C0927232']"
DOID:6383,childhood brain stem glioma,['C0278600']
HP:0009972,Duplication of phalanx of 4th finger,['C4021359']
DOID:0050553,JMP syndrome,"['C3278560', 'C0039082']"
HP:0005172,Left posterior fascicular block,['C0264913']
HP:0031510,Linear earlobe crease,"['C0205132', 'C1851897']"
HP:0004552,Scarring alopecia of scalp,['C3806301']
DOID:4968,Nelson syndrome,['C0027577']
OMIM:616583,"SPONDYLOEPIPHYSEAL DYSPLASIA, STANESCU TYPE; SEDSTN",['C4225273']
HP:0011337,Abnormality of mouth size,['C4023408']
OMIM:181700,"SCLEROCORNEA, AUTOSOMAL DOMINANT",['C1866984']
HP:0005048,Synostosis of carpal bones,['C1836193']
OMIM:615343,"PULMONARY HYPERTENSION, PRIMARY, 3; PPH3",['C3809192']
DOID:0070133,autosomal recessive cutis laxa type IB,"['C0268351', 'C0268351', 'C1547052']"
HP:0012329,Tufted angioma,['C0346073']
HP:0002621,Atherosclerosis,"['C4280569', 'C0004153']"
HP:0000410,Mixed hearing impairment,['C0155552']
OMIM:209100,ATONIC-ASTATIC SYNDROME OF FOERSTER,['C1859594']
HP:0100838,Recurrent cutaneous abscess formation,['C4021957']
HP:0011029,Internal hemorrhage,['C1390214']
HP:0006582,Reye syndrome-like episodes,['C1850413']
DOID:743,dermatographia,['C0343065']
HP:0012498,Nuchal cord,['C0405124']
HP:0004415,Pulmonary artery stenosis,['C0238397']
DOID:483,cavernous hemangioma,['C0018920']
HP:0008035,Retinitis pigmentosa inversa,['C4021559']
HP:0031736,Involutional entropion,['C0155188']
DOID:0060201,amyotrophic lateral sclerosis type 10,"['C3502417', 'C0002736', 'C1547052']"
OMIM:268220,RHABDOMYOSARCOMA 2; RMS2,['C0206655']
OMIM:118700,"CHOREA, BENIGN HEREDITARY; BHC",['C0393584']
HP:0010773,Partial anomalous pulmonary venous return,['C0158634']
HP:0005701,Multiple enchondromatosis,['C0014084']
HP:0030840,Ankle pain,['C0238656']
DOID:4123,nail disease,['C0027339']
OMIM:607516,"MIGRAINE WITH OR WITHOUT AURA, SUSCEPTIBILITY TO, 6",['C1843765']
OMIM:609039,NARCOLEPSY 3; NRCLP3,['C1836907']
DOID:10808,gastric ulcer,['C0038358']
HP:0031221,Abnormal radioactive iodine uptake test result,"['C0205161', 'C0203778', 'C0022885', 'C0039593']"
DOID:13474,progressive peripheral pterygium,['C0155155']
DOID:5775,cavernous hemangioma of colon,['C1333086']
HP:0012577,Thin glomerular basement membrane,['C3276821']
DOID:2181,post-surgical hypoinsulinemia,['C0154190']
HP:0000136,Bifid uterus,['C1850327']
HP:0005502,Increased red cell osmotic fragility,['C1849478']
OMIM:256500,NETHERTON SYNDROME; NETH,['C0265962']
HP:0100257,Ectrodactyly,['C0265554']
OMIM:615342,"PULMONARY HYPERTENSION, PRIMARY, 2; PPH2",['C3888002']
HP:0003552,Muscle stiffness,['C0221170']
DOID:1272,telangiectasis,['C0039446']
DOID:1390,hypobetalipoproteinemia,['C0020597']
HP:0500024,Aplasia of the musculature of the pelvis,['C4477083']
HP:0005622,Broad long bones,['C4021630']
OMIM:125420,"DENTIN DYSPLASIA, TYPE II; DTDP2",['C0399380']
HP:0025019,Arterial rupture,['C0155760']
OMIM:242530,"ICHTHYOSIS, MENTAL RETARDATION, DWARFISM, AND RENAL IMPAIRMENT",['C1855787']
HP:0040024,Clinodactyly of the 3rd finger,"['C4280296', 'C4022485']"
OMIM:617222,"SUDDEN CARDIAC FAILURE, INFANTILE; SCFI","['C2669511', 'C4310664']"
DOID:12177,common variable immunodeficiency,['C0009447']
HP:0031155,Increased Arden ratio of electrooculogram,['C4477008']
OMIM:616028,ADAMS-OLIVER SYNDROME 5; AOS5,['C4014970']
DOID:2444,hyperpituitarism,['C0020506']
DOID:8869,neuromyelitis optica,['C0027873']
DOID:10128,venous insufficiency,['C0042485']
DOID:10609,rickets,"['C0035579', 'C0221468']"
HP:0025546,Abnormal mean corpuscular hemoglobin,"['C2347472', 'C0369183', 'C0205161', 'C0369183']"
HP:0000940,Abnormal diaphysis morphology,['C4021787']
DOID:0050718,vitamin metabolic disorder,"['C0042890', 'C0025517']"
DOID:7689,leptomeninges sarcoma,['C1384416']
HP:0011634,Partial left sided absence of pericardium,['C4023255']
DOID:2631,serous cystadenoma,['C0206709']
DOID:0060794,hypomyelinating leukodystrophy 7 with or without oligodontia and-or hypogonadotropic hypogonadism,"['C2677112', 'C0020608', 'C0022735', 'C0023520', 'C0271623']"
HP:0010583,Ivory epiphyses,['C1856911']
DOID:13376,congenital aortic insufficiency,"['C0003504', 'C0158617']"
DOID:4548,extraskeletal mesenchymal chondrosarcoma,['C1275279']
DOID:9498,pulmonary eosinophilia,['C0034068']
HP:0011973,Paroxysmal lethargy,['C1847507']
HP:0030580,Pinhole visual acuity 1.2 LogMAR,['C4073053']
HP:0009535,Aplasia of the 2nd finger,['C4021453']
OMIM:227090,"ERYTHRODERMA, LETHAL CONGENITAL",['C1856898']
HP:0004218,Symphalangism of the 5th finger,['C4021676']
HP:0011191,Unilateral multifocal epileptiform discharges,['C4023483']
HP:0002959,Impaired Ig class switch recombination,['C1842528']
OMIM:276600,"TYROSINEMIA, TYPE II; TYRSN2",['C0268487']
DOID:12210,Wuchereria bancrofti filariasis,"['C0043272', 'C0016085']"
OMIM:608816,"MYOCLONIC EPILEPSY, JUVENILE, SUSCEPTIBILITY TO, 3; EJM3",['C1837308']
DOID:0110966,brachydactyly type A3,"['C1862140', 'C0221357', 'C1547052']"
DOID:0111154,postural orthostatic tachycardia syndrome,"['C1299624', 'C1299624']"
DOID:159,mesothelial neoplasm,"['C3714739', 'C0206714']"
HP:0012297,Slender proximal phalanx of finger,['C4022961']
HP:0025130,Decreased small intestinal mucosa lactase activity,"['C4476604', 'C0302813']"
DOID:0050345,primary Thermomonosporaceae infectious disease,"['C0995817', 'C0948192', 'C1550587', 'C0277554']"
OMIM:610234,SYNPOLYDACTYLY 3; SPD3,['C1853255']
DOID:0111030,hemochromatosis type 3,['C1858664']
DOID:7411,ovarian endometrioid cystadenofibroma,['C1335158']
DOID:0050279,conidiobolomycosis,['C0276712']
OMIM:251950,MITOCHONDRIAL MYOPATHY WITH LACTIC ACIDOSIS; MMLA,['C1855033']
OMIM:203750,ALPHA-METHYLACETOACETIC ACIDURIA,['C1536500']
OMIM:616268,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 32; MRD32",['C4225396']
OMIM:617168,"AORTIC ANEURYSM, FAMILIAL THORACIC 10; AAT10","['C2773348', 'C4284414']"
DOID:0110615,primary ciliary dyskinesia 25,['C0008780']
HP:0007621,Telangiectasia of extensor surfaces,['C4024827']
OMIM:616255,SHORT STATURE WITH NONSPECIFIC SKELETAL ABNORMALITIES; SNSK,['C4225399']
DOID:0110234,cataract 4 multiple types,"['C0086543', 'C0439064', 'C0332307']"
HP:0010639,Elevated alkaline phosphatase of bone origin,['C1833667']
HP:0004724,Calcium nephrolithiasis,['C1855801']
DOID:9719,proliferative vitreoretinopathy,['C0242852']
DOID:119,vaginal cancer,"['C0042237', 'C0042258']"
DOID:4629,porcine reproductive and respiratory syndrome,"['C0376538', 'C0039005', 'C0748342', 'C0521346', 'C0039082']"
DOID:3431,cerebritis,['C0742115']
HP:0009921,Duane anomaly,"['C0013261', 'C1846464', 'C4072873']"
HP:0009939,Mandibular aplasia,"['C4021371', 'C0685776', 'C0685775']"
HP:0006501,Aplasia/Hypoplasia of the radius,['C2749463']
DOID:824,periodontitis,['C0031099']
OMIM:613758,RETINITIS PIGMENTOSA 47; RP47,['C3151061']
OMIM:609056,SALT AND PEPPER DEVELOPMENTAL REGRESSION SYNDROME; SPDRS,['C1836824']
HP:0005879,Congenital finger flexion contractures,['C1393871']
HP:0000110,Renal dysplasia,"['C3536714', 'C1619700']"
HP:0045074,Thin eyebrow,['C4281771']
HP:0040262,Glue ear,['C0029883']
DOID:9121,"Hodgkin's lymphoma, mixed cellularity, extranodal and solid organ sites","['C0019829', 'C0178539', 'C1517067', 'C0440790', 'C0205145', 'C0205430', 'C1516377']"
OMIM:612578,STATURE QUANTITATIVE TRAIT LOCUS 15; STQTL15,['C2675490']
OMIM:617100,FAMILIAL ADENOMATOUS POLYPOSIS 4; FAP4,['C4310719']
HP:0100324,Scleroderma,"['C0011644', 'C1274865']"
OMIM:185750,SYMPHALANGISM WITH MULTIPLE ANOMALIES OF HANDS AND FEET,['C1861391']
DOID:7398,cerebral primitive neuroectodermal tumor,['C0751675']
DOID:5557,testicular germ cell cancer,['C1336708']
DOID:0060395,chromosome 15q24 deletion syndrome,"['C3150674', 'C1520645', 'C0008628', 'C0039082']"
HP:0031388,Megakaryocyte nucleus hyperlobulation,['C0025166']
HP:0030355,Abnormal serum interferon-gamma level,['C4072899']
HP:0012767,Abnormal placental size,['C4022732']
DOID:6740,cervix small cell carcinoma,['C0279674']
DOID:6895,AIDS-related Kaposi's sarcoma,['C0276535']
OMIM:601071,"DEAFNESS, AUTOSOMAL RECESSIVE 9; DFNB9",['C1832828']
HP:0030022,Question mark ear,['C3888103']
DOID:0050819,Matthew-Wood syndrome,"['C1832661', 'C0039082']"
OMIM:617272,"GLAUCOMA 3, PRIMARY CONGENITAL, E; GLC3E",['C4310639']
OMIM:607152,"SPASTIC PARAPLEGIA 19, AUTOSOMAL DOMINANT; SPG19",['C1846685']
HP:0000223,Abnormality of taste sensation,['C4025879']
HP:0031302,Lower extremity peripheral arterial calcification,"['C0023216', 'C0205100', 'C1168153', 'C1168153']"
OMIM:609640,FRIAS SYNDROME,['C1864825']
DOID:3604,ovarian mucinous cystadenocarcinoma,['C0279665']
DOID:163,mucoepidermoid tumor,['C0206712']
HP:0009094,Cleft lower alveolar ridge,"['C4280404', 'C4280405', 'C1849350', 'C4280406']"
DOID:9159,gas gangrene,['C0017105']
HP:0002251,Aganglionic megacolon,"['C0025160', 'C0019569']"
HP:0030524,Peripheral visual field constriction with 30-40 degrees central field preserved,['C4073001']
HP:0003010,Prolonged bleeding time,['C0151529']
HP:0040044,Hypoplasia of the diaphragm,['C4022473']
