	Drug	Condition	CURIE_ID
121	LORACARBEF	Bacterial Infections	DOID:874
122	AMPICILLIN	Bacterial Infections	DOID:874
123	SULFAMERAZINE	Bacterial Infections	DOID:874
124	CEFALONIUM	Bacterial Infections	DOID:874
125	SECNIDAZOLE	Vaginosis, Bacterial	DOID:3385
126	LISDEXAMFETAMINE	Binge-Eating Disorder	DOID:8670
127	ZUCLOPENTHIXOL	Bipolar Disorder	DOID:3312
128	LITHIUM	Bipolar Disorder	DOID:3312
129	CISPLATIN	Urinary Bladder Neoplasms	DOID:11054
130	FRAMYCETIN	Blepharitis	DOID:9423
131	PRANOPROFEN	Blepharitis	DOID:9423
132	DICUMAROL	Blood Coagulation	HP:0001928
133	GAMITHROMYCIN	Bovine Respiratory Disease Complex	
134	TRILOSTANE	Breast Neoplasms	DOID:3459
135	TESTOLACTONE	Breast Neoplasms	DOID:3459
136	ELLIPTINIUM	Breast Neoplasms	DOID:3459
137	EPIRUBICIN	Breast Neoplasms	DOID:3459
138	THIOTEPA	Breast Neoplasms	DOID:3459
139	LAPATINIB	Breast Neoplasms	DOID:3459
140	METHOTREXATE	Breast Neoplasms	DOID:3459
141	ANASTROZOLE	Breast Neoplasms	DOID:3459
142	PALBOCICLIB	Breast Neoplasms	DOID:3459
143	LETROZOLE	Breast Neoplasms	DOID:3459
144	MEPITIOSTANE	Breast Neoplasms	DOID:3459
145	EPITIOSTANOL	Breast Neoplasms	DOID:3459
146	TULOBUTEROL	Asthma	DOID:2841
147	METAPROTERENOL	Asthma	DOID:2841
148	FUDOSTEINE	Bronchiectasis	DOID:9563
149	SULFALENE	Bronchitis	DOID:6132
150	JOSAMYCIN	Bronchitis	DOID:6132
151	PRULIFLOXACIN	Bronchitis, Chronic	DOID:6132
152	ETAFEDRINE	Bronchitis, Chronic	DOID:6132
153	FLUOXETINE	Bulimia Nervosa	DOID:12129
154	SUXIBUZONE	Bursitis	DOID:2965
155	PD173955	Neoplasms	DOID:14566
156	HELVOLIC ACID	Candidiasis	DOID:1508
157	POSACONAZOLE	Candidiasis	DOID:1508
158	FLUCONAZOLE	Candidiasis	DOID:1508
159	OCTREOTIDE	Carcinoid Tumor	DOID:169
160	SONIDEGIB	Carcinoma, Basal Cell	DOID:2513
161	VISMODEGIB	Carcinoma, Basal Cell	DOID:2513
162	IMIQUIMOD	Carcinoma, Basal Cell	DOID:2513
163	GOLVATINIB	Carcinoma, Hepatocellular	DOID:684
164	OSIMERTINIB	Carcinoma, Non-Small-Cell Lung	DOID:3904
165	VINORELBINE	Carcinoma, Non-Small-Cell Lung	DOID:3904
166	ALECTINIB	Carcinoma, Non-Small-Cell Lung	DOID:3904
167	CERITINIB	Carcinoma, Non-Small-Cell Lung	DOID:3904
168	GEFITINIB	Carcinoma, Non-Small-Cell Lung	DOID:3904
169	AFATINIB	Carcinoma, Non-Small-Cell Lung	DOID:3904
170	SORAFENIB	Carcinoma, Renal Cell	DOID:4450
171	SAVOLITINIB	Carcinoma, Renal Cell	DOID:4450
172	AXITINIB	Carcinoma, Renal Cell	DOID:4450
173	PAZOPANIB	Carcinoma, Renal Cell	DOID:4450
174	TEMSIROLIMUS	Carcinoma, Renal Cell	DOID:4450
175	VINFLUNINE	Carcinoma, Transitional Cell	DOID:2671
176	NOREPINEPHRINE	Heart Arrest	DOID:0060319
177	SIMVASTATIN	Cardiovascular Diseases	DOID:1287
178	PANTETHINE	Cardiovascular Diseases	DOID:1287
179	BENDAZAC	Cataract	DOID:83
180	PIRENOXINE	Cataract	DOID:83
181	BENZNIDAZOLE	Chagas Disease	DOID:12140
182	NIFURTIMOX	Chagas Disease	DOID:12140
183	TIEMONIUM	Cholecystitis	DOID:1949
184	TREPIBUTONE	Cholelithiasis	DOID:10211
185	DEHYDROCHOLIC ACID	Cholestasis	DOID:13580
186	VERTEPORFIN	Choroidal Neovascularization	DOID:1417
187	ISOETHARINE	Bronchitis, Chronic	DOID:6132
188	GEMIFLOXACIN	Bronchitis, Chronic	DOID:6132
189	CEFDINIR	Bronchitis, Chronic	DOID:6132
190	GLYCAMIL	Hepatitis C, Chronic	DOID:1883
191	DACLATASVIR	Hepatitis C, Chronic	DOID:1883
192	ELBASVIR	Hepatitis C, Chronic	DOID:1883
193	FLUTROPIUM	Pulmonary Disease, Chronic Obstructive	DOID:3083
194	CAMOSTAT	Pancreatitis, Chronic	DOID:4989
195	AVILAMYCIN	Clostridium Infections	DOID:11338
196	SEMDURAMICIN	Coccidiosis	DOID:2113
197	NITROMIDE	Coccidiosis	DOID:2113
198	ETHOPABATE	Coccidiosis	DOID:2113
199	ROBENIDINE	Coccidiosis	DOID:2113
200	NICARBAZIN	Coccidiosis	DOID:2113
201	NOOPEPT	Cognition Disorders	DOID:1561
202	VALETHAMATE	Colic	HP:0011848
203	JNJ-38877605	Colorectal Neoplasms	DOID:1285
204	RALTITREXED	Colorectal Neoplasms	DOID:1285
205	REGORAFENIB	Colorectal Neoplasms	DOID:1285
206	BROMPHENIRAMINE	Common Cold	DOID:10459
207	METOLAZONE	Heart Failure	DOID:6000
208	NORFLOXACIN	Conjunctivitis	DOID:6195
209	EPINASTINE	Conjunctivitis, Allergic	DOID:11204
210	MEDRYSONE	Conjunctivitis, Allergic	DOID:11204
211	LEVOCABASTINE	Conjunctivitis, Allergic	DOID:11204
212	PRUCALOPRIDE	Constipation	DOID:2089
213	NALOXONE	Constipation	DOID:2089
214	PHENOLPHTHALEIN	Constipation	DOID:2089
215	LUBIPROSTONE	Constipation	DOID:2089
216	PERINDOPRIL	Coronary Artery Disease	DOID:3393
217	CHROMONAR	Coronary Artery Disease	DOID:3393
218	DOCONEXENT	Coronary Disease	DOID:3393
219	ETHYLMORPHINE	Cough	HP:0012735
220	PHOLCODINE	Cough	HP:0012735
221	PASIREOTIDE	Pituitary ACTH Hypersecretion	DOID:3946
222	KETOCONAZOLE	Candidiasis, Cutaneous	DOID:0080161
223	IVACAFTOR	Cystic Fibrosis	DOID:1485
224	FLAVOXATE	Cystitis	DOID:1679
225	MICRONOMICIN	Cystitis	DOID:1679
226	VALGANCICLOVIR HCL	Cytomegalovirus Retinitis	DOID:0080160
227	GANCICLOVIR	Cytomegalovirus Retinitis	DOID:0080160
228	CIDOFOVIR	Cytomegalovirus Retinitis	DOID:0080160
229	FOSCARNET	Cytomegalovirus Retinitis	DOID:0080160
230	ATIPAMEZOLE	Deep Sedation	
231	OXIRACETAM	Dementia	DOID:1307
232	XYLITOL	Dental Caries	DOID:216
233	PHENTOLAMINE	Stomatognathic Diseases	HP:1091
234	DIBENZEPIN	Depression	DOID:2848
235	IMIPRAMINE	Depression	DOID:2848
236	ISOCARBOXAZID	Depression	DOID:2848
237	LOFEPRAMINE	Depression	DOID:2848
238	AMITRIPTYLINE	Depressive Disorder	DOID:2848
239	ORVEPITANT	Depressive Disorder, Major	DOID:1470
240	ARIPIPRAZOLE	Depressive Disorder, Major	DOID:1470
241	VILAZODONE	Depressive Disorder, Major	DOID:1470
242	VORTIOXETINE	Depressive Disorder, Major	DOID:1470
243	CLOBETASOL	Dermatitis	DOID:2723
244	UFENAMATE	Dermatitis	DOID:2723
245	DAPSONE	Dermatitis Herpetiformis	DOID:8505
246	SULFOXONE	Dermatitis Herpetiformis	DOID:8505
247	THENALIDINE	Dermatitis, Atopic	DOID:3310
248	AMOROLFINE	Dermatomycoses	DOID:1563
249	TOLNAFTATE	Tinea	DOID:8913
250	HYDROCORTAMATE	Skin Diseases	DOID:37
251	LYPRESSIN	Diabetes Insipidus	DOID:9409
252	CANAGLIFLOZIN	Diabetes Mellitus, Type 2	DOID:9352
253	GLYBURIDE	Diabetes Mellitus, Type 2	DOID:9352
254	EMPAGLIFLOZIN	Diabetes Mellitus, Type 2	DOID:9352
255	MIGLITOL	Diabetes Mellitus, Type 2	DOID:9352
256	TOLBUTAMIDE	Diabetes Mellitus, Type 2	DOID:9352
257	GLIPIZIDE	Diabetes Mellitus, Type 2	DOID:9352
258	TOFOGLIFLOZIN	Diabetes Mellitus, Type 2	DOID:9352
259	GLIMEPIRIDE	Diabetes Mellitus, Type 2	DOID:9352
260	ALOGLIPTIN	Diabetes Mellitus, Type 2	DOID:9352
261	TENELIGLIPTIN	Diabetes Mellitus, Type 2	DOID:9352
262	EPALRESTAT	Diabetic Neuropathies	DOID:9743
263	UZARIN	Diarrhea	DOID:13250
264	UZARIGENIN	Diarrhea	DOID:13250
265	FIDAXOMICIN	Diarrhea	DOID:13250
266	RIFAXIMIN	Diarrhea	DOID:13250
267	LOPERAMIDE	Diarrhea	DOID:13250
268	DIFENOXIN	Diarrhea	DOID:13250
269	GEMEPROST	Dilatation and Curettage	HP:0030449
270	LEVLOFEXIDINE	Substance-Related Disorders	DOID:303
271	FLUMAZENIL	Drug Overdose	DOID:303
272	DIQUAFOSOL	Dry Eye Syndromes	DOID:10140
273	OXIGLUTATIONE	Dry Eye Syndromes	DOID:10140
274	PIRENZEPINE	Duodenal Ulcer	DOID:1724
275	LEVOLANSOPRAZOLE	Duodenal Ulcer	DOID:1724
276	BENZILONIUM	Duodenal Ulcer	DOID:1724
277	RABEPRAZOLE	Duodenal Ulcer	DOID:1724
278	ROSUVASTATIN	Hyperlipoproteinemia Type III	DOID:3145
279	VALNEMULIN	Dysentery	DOID:12384
280	ORMELOXIFENE	Metrorrhagia	HP:0100608
281	TIAPRIDE	Dyskinesias	DOID:543
282	ALBENDAZOLE	Echinococcosis	DOID:1496
283	OXATOMIDE	Eczema	DOID:9230
284	VANCOMYCIN	Endocarditis, Bacterial	DOID:104
285	NAFARELIN	Endometriosis	DOID:289
286	BUSERELIN	Endometriosis	DOID:289
287	DYDROGESTERONE	Endometriosis	DOID:289
288	GESTRINONE	Endometriosis	DOID:289
289	PRIFINIUM	Endoscopy, Gastrointestinal	HP:12072
290	ETHOTOIN	Epilepsy	DOID:1826
291	METHARBITAL	Epilepsy	DOID:1826
292	FELBAMATE	Epilepsy	DOID:1826
293	METHSUXIMIDE	Epilepsy	DOID:1826
294	BRIVARACETAM	Epilepsy	DOID:1826
295	VIGABATRIN	Epilepsy	DOID:1826
296	MIRODENAFIL	Erectile Dysfunction	DOID:1875
297	SULFOMYXIN	Escherichia coli Infections	HP:0005420
298	IMIPENEM	Escherichia coli Infections	HP:0005420
299	CLOPROSTENOL	Estrous Cycle	HP:0030449
300	SULFACETAMIDE	Eye Infections, Bacterial	DOID:104
301	BACITRACIN	Eye Infections, Bacterial	DOID:104
302	MIGALASTAT	Fabry Disease	DOID:14499
303	TAFAMIDIS	Amyloid Neuropathies, Familial	DOID:8943
304	COLCHICINE	Familial Mediterranean Fever	DOID:2987
305	CAPROMORELIN	Feeding and Eating Disorders	DOID:12128
306	CP 154526 HYDROCHLORIDE	Fever	HP:0001945
307	ACETAMINOPHEN	Fever	HP:0001945
308	NIFURPIRINOL	Fish Diseases	DOID:104
309	IDEBENONE	Friedreich Ataxia	DOID:12705
310	OXAPIUM	Gallbladder Diseases	DOID:0060262
311	REVAPRAZAN	Gastritis	DOID:4029
312	TIQUIZIUM	Gastritis	DOID:4029
313	TROXIPIDE	Gastritis	DOID:4029
314	ROXATIDINE	Gastritis	DOID:4029
315	REBAMIPIDE	Gastritis	DOID:4029
316	ITOPRIDE	Gastritis	DOID:4029
317	MEPREDNISONE	Gastrointestinal Diseases	DOID:77
318	FLOXURIDINE	Gastrointestinal Neoplasms	DOID:10534
319	METOCLOPRAMIDE	Gastroparesis	DOID:11914
320	MIGLUSTAT	Gaucher Disease	DOID:1926
321	ELIGLUSTAT	Gaucher Disease	DOID:1926
322	TICARCILLIN	Reproductive Tract Infections	DOID:48
323	ACECLIDINE	Glaucoma	DOID:1686
324	PHYSOSTIGMINE	Glaucoma	DOID:1686
325	RIPASUDIL	Glaucoma	DOID:1686
326	BUPRANOLOL	Glaucoma	DOID:1686
327	METHAZOLAMIDE	Glaucoma	DOID:1686
328	LATANOPROST	Glaucoma, Open-Angle	DOID:1067
329	ACETAZOLAMIDE	Glaucoma, Open-Angle	DOID:1067
330	DIPIVEFRIN	Glaucoma, Open-Angle	DOID:1067
331	BRIMONIDINE	Glaucoma, Open-Angle	DOID:1067
332	DEMECARIUM	Glaucoma, Open-Angle	DOID:1067
333	ML299	Glioblastoma	DOID:3068
334	VELIPARIB	Glioblastoma	DOID:3068
335	LEVOTHYROXINE	Goiter	DOID:12176
336	CEFOTAXIME	Gonorrhea	DOID:7551
337	ALLOPURINOL	Gout	DOID:13189
338	KANAMYCIN	Gram-Negative Bacterial Infections	DOID:2297
339	PROFLAVINE	Gram-Positive Bacterial Infections	DOID:104
340	GUSPERIMUS	Granulomatosis with Polyangiitis	DOID:12132
341	ALCLOMETASONE	Hand Dermatoses	DOID:3158
342	CROMOLYN	Rhinitis, Allergic, Seasonal	DOID:0060497
343	MEQUITAZINE	Rhinitis, Allergic, Seasonal	DOID:0060497
344	CHLORPHENIRAMINE	Rhinitis, Allergic, Seasonal	DOID:0060497
345	TEGAFUR	Head and Neck Neoplasms	DOID:11934
346	ASPIRIN	Headache	DOID:0060164
347	FONAZINE	Headache Disorders, Secondary	HP:0002315
348	DOBUTAMINE	Heart Diseases	DOID:114
349	TRAPIDIL	Heart Diseases	DOID:114
350	DERENOFYLLINE	Heart Failure	DOID:6000
351	ENALAPRIL	Heart Failure	DOID:6000
352	IVABRADINE	Heart Failure	DOID:6000
353	INAMRINONE	Heart Failure	DOID:6000
354	XAMOTEROL	Heart Failure	DOID:6000
355	NITROGLYCERIN	Heart Failure	DOID:6000
356	DENOPAMINE	Heart Failure	DOID:6000
357	LOSARTAN	Heart Failure	DOID:6000
358	PIMOBENDAN	Heart Failure	DOID:6000
359	OLPRINONE	Heart Failure	DOID:6000
360	CARVEDILOL	Heart Failure	DOID:6000
361	VESNARINONE	Heart Failure	DOID:6000
362	ENOXIMONE	Heart Failure	DOID:6000
363	SITAXENTAN	Heart Failure, Diastolic	DOID:9775
364	HALOXON	Helminthiasis	DOID:883
365	THENIUM	Helminthiasis	DOID:883
366	DICHLORVOS	Helminthiasis	DOID:883
367	FAMPHUR	Helminthiasis	DOID:883
368	CYCLOBENDAZOLE	Helminthiasis	DOID:883
369	TICARBODINE	Helminthiasis	DOID:883
370	EMODEPSIDE	Helminthiasis	DOID:883
371	TIOXIDAZOLE	Helminthiasis	DOID:883
372	CAMBENDAZOLE	Helminthiasis	DOID:883
373	ORNIPRESSIN	Hemorrhage	HP:0006535
374	ETHAMSYLATE	Hemorrhage	HP:0006535
375	PAROMOMYCIN	Hepatic Encephalopathy	DOID:13413
376	NEOMYCIN	Hepatic Encephalopathy	DOID:13413
377	ENTECAVIR	Hepatitis B	DOID:2043
378	ADEFOVIR	Hepatitis B	DOID:2043
379	CLEVUDINE	Hepatitis B, Chronic	DOID:2237
380	TELBIVUDINE	Hepatitis B, Chronic	DOID:2237
381	VELPATASVIR	Hepatitis C	DOID:1883
382	DASABUVIR	Hepatitis C, Chronic	DOID:1883
383	BOCEPREVIR	Hepatitis C, Chronic	DOID:1883
384	TELAPREVIR	Hepatitis C, Chronic	DOID:1883
385	VX-11E	Carcinoma, Hepatocellular	DOID:684
386	PENCICLOVIR	Herpes Labialis	DOID:9297
387	DOCOSANOL	Herpes Labialis	DOID:9297
388	ACYCLOVIR	Herpes Simplex	DOID:8566
389	EFLORNITHINE	Hirsutism	DOID:421
390	ITRACONAZOLE	Histoplasmosis	DOID:1731
391	COBICISTAT	HIV Infections	DOID:526
392	EFAVIRENZ	HIV Infections	DOID:526
393	LAMIVUDINE	HIV Infections	DOID:526
394	INDINAVIR	HIV Infections	DOID:526
395	RALTEGRAVIR	HIV Infections	DOID:526
396	TIPRANAVIR	HIV Infections	DOID:526
397	ETRAVIRINE	HIV Infections	DOID:526
398	DIDANOSINE	HIV Infections	DOID:526
399	LOPINAVIR	HIV Infections	DOID:526
400	MARAVIROC	HIV Infections	DOID:526
401	ZALCITABINE	HIV Infections	DOID:526
402	NELFINAVIR	HIV Infections	DOID:526
403	ABACAVIR	HIV Infections	DOID:526
404	STAVUDINE	HIV Infections	DOID:526
405	EMTRICITABINE	HIV Infections	DOID:526
406	ATAZANAVIR	HIV Infections	DOID:526
407	RITONAVIR	HIV Infections	DOID:526
408	AMPRENAVIR	HIV Infections	DOID:526
409	MECHLORETHAMINE	Hodgkin Disease	DOID:8543
410	BAZEDOXIFENE	Hot Flashes	HP:0005968
411	VERALIPRIDE	Hot Flashes	HP:0005968
412	PF-2545920	Huntington Disease	DOID:12858
413	TETRABENAZINE	Huntington Disease	DOID:12858
414	NICLOSAMIDE	Hymenolepiasis	DOID:10074
415	CINACALCET	Hypercalcemia	DOID:12678
416	COLESTIPOL	Hypercholesterolemia	DOID:13810
417	LOMITAPIDE	Hypercholesterolemia	DOID:13810
418	PROBUCOL	Hypercholesterolemia	DOID:13810
419	FENOFIBRATE	Hypercholesterolemia	DOID:13810
420	IMATINIB	Hypereosinophilic Syndrome	DOID:999
421	BEZAFIBRATE	Hyperlipidemias	DOID:1168
422	CIPROFIBRATE	Hyperlipidemias	DOID:1168
423	ATORVASTATIN	Hyperlipidemias	DOID:1168
424	SIMFIBRATE	Hyperlipidemias	DOID:1168
425	LOVASTATIN	Hyperlipidemias	DOID:1168
426	GEMFIBROZIL	Hyperlipidemias	DOID:1168
427	PARICALCITOL	Hyperparathyroidism, Secondary	DOID:12466
428	DOXERCALCIFEROL	Hyperparathyroidism, Secondary	DOID:12466
429	METHDILAZINE	Hypersensitivity	DOID:1205
430	IRBESARTAN	Hypertension	DOID:10763
431	BETAXOLOL	Hypertension	DOID:10763
432	TOCOPHEROL	Hypertension	DOID:10763
433	PENTOLINIUM	Hypertension	DOID:10763
434	PRAZOSIN	Hypertension	DOID:10763
435	FIMASARTAN	Hypertension	DOID:10763
436	SPIRONOLACTONE	Hypertension	DOID:10763
437	CELIPROLOL	Hypertension	DOID:10763
438	MERSALYL	Hypertension	DOID:10763
439	DILEVALOL	Hypertension	DOID:10763
440	TELMISARTAN	Hypertension	DOID:10763
441	MEFRUSIDE	Hypertension	DOID:10763
442	MOEXIPRIL	Hypertension	DOID:10763
443	TRICHLORMETHIAZIDE	Hypertension	DOID:10763
444	NADOLOL	Hypertension	DOID:10763
445	AMOSULALOL	Hypertension	DOID:10763
446	LABETALOL	Hypertension	DOID:10763
447	INDORAMIN	Hypertension	DOID:10763
448	PINDOLOL	Hypertension	DOID:10763
449	GUANETHIDINE	Hypertension	DOID:10763
450	FUROSEMIDE	Hypertension	DOID:10763
451	HYDROFLUMETHIAZIDE	Hypertension	DOID:10763
452	AMILORIDE	Hypertension	DOID:10763
453	RESCINNAMINE	Hypertension	DOID:10763
454	BOPINDOLOL	Hypertension	DOID:10763
455	CLEVIDIPINE	Hypertension	DOID:10763
456	LISINOPRIL	Hypertension	DOID:10763
457	DESERPIDINE	Hypertension	DOID:10763
458	CILNIDIPINE	Hypertension	DOID:10763
459	SPIRAPRIL	Hypertension	DOID:10763
460	GALLOPAMIL	Hypertension	DOID:10763
461	FELODIPINE	Hypertension	DOID:10763
462	TALINOLOL	Hypertension	DOID:10763
463	VALSARTAN	Hypertension	DOID:10763
464	BUDRALAZINE	Hypertension	DOID:10763
465	GUANABENZ	Hypertension	DOID:10763
466	QUINETHAZONE	Hypertension	DOID:10763
467	GUANADREL	Hypertension	DOID:10763
468	PARGYLINE	Hypertension	DOID:10763
469	EPLERENONE	Hypertension	DOID:10763
470	EPROSARTAN	Hypertension	DOID:10763
471	BUNAZOSIN	Hypertension	DOID:10763
472	CAPOZIDE	Hypertension	DOID:10763
473	INDAPAMIDE	Hypertension	DOID:10763
474	FENOLDOPAM	Hypertension	DOID:10763
475	CANRENONE	Hypertension	DOID:10763
476	GUANFACINE	Hypertension	DOID:10763
477	LERCANIDIPINE	Hypertension	DOID:10763
478	TREPROSTINIL	Hypertension, Pulmonary	DOID:6432
479	SELEXIPAG	Hypertension, Pulmonary	DOID:6432
480	AMBRISENTAN	Hypertension, Pulmonary	DOID:6432
481	SILDENAFIL	Hypertension, Pulmonary	DOID:6432
482	MACITENTAN	Hypertension, Pulmonary	DOID:6432
483	DIPYRONE	Fever	HP:0001945
484	LIOTHYRONINE	Hyperthyroidism	DOID:7998
485	ETOFIBRATE	Hypertriglyceridemia	DOID:1171
486	ICOSAPENT	Hypertriglyceridemia	DOID:1171
487	AMINOPENTAMIDE	Gastritis, Hypertrophic	DOID:8757
488	TALBUTAL	Hypnotics and Sedatives	
489	CALCITRIOL	Hypocalcemia	DOID:10575
490	CONIVAPTAN	Hyponatremia	HP:0002902
491	TOLVAPTAN	Hyponatremia	HP:0002902
492	EPHEDRINE	Hypotension	DOID:4752
493	AMEZINIUM	Hypotension	DOID:4752
494	NORFENEFRINE	Hypotension	DOID:4752
495	MIDODRINE	Hypotension, Orthostatic	DOID:10556
496	RASAGILINE	Parkinson Disease	DOID:14330
