Drug	Condition
IBUTILIDE	Atrial Fibrillation
VERNAKALANT	Atrial Fibrillation
ATOMOXETINE	Attention Deficit Disorder with Hyperactivity
DEXMETHYLPHENIDATE	Attention Deficit Disorder with Hyperactivity
IBUPROFEN	Back Pain
PELUBIPROFEN	Back Pain
ROLITETRACYCLINE	Bacterial Infections
TETRACYCLINE	Bacterial Infections
CEFPIRAMIDE	Bacterial Infections
ISEPAMICIN	Bacterial Infections
CEFADROXIL	Bacterial Infections
CEFUROXIME	Bacterial Infections
SISOMICIN	Bacterial Infections
CYCLACILLIN	Bacterial Infections
LATAMOXEF	Bacterial Infections
CEFTERAM	Bacterial Infections
LENAMPICILLIN	Bacterial Infections
FLEROXACIN	Bacterial Infections
MEZLOCILLIN	Bacterial Infections
AZLOCILLIN	Bacterial Infections
CEPHALEXIN	Bacterial Infections
LORACARBEF	Bacterial Infections
AMPICILLIN	Bacterial Infections
SULFAMERAZINE	Bacterial Infections
CEFALONIUM	Bacterial Infections
SECNIDAZOLE	Vaginosis, Bacterial
LISDEXAMFETAMINE	Binge-Eating Disorder
ZUCLOPENTHIXOL	Bipolar Disorder
LITHIUM	Bipolar Disorder
CISPLATIN	Urinary Bladder Neoplasms
FRAMYCETIN	Blepharitis
PRANOPROFEN	Blepharitis
DICUMAROL	Blood Coagulation
GAMITHROMYCIN	Bovine Respiratory Disease Complex
TRILOSTANE	Breast Neoplasms
TESTOLACTONE	Breast Neoplasms
ELLIPTINIUM	Breast Neoplasms
EPIRUBICIN	Breast Neoplasms
THIOTEPA	Breast Neoplasms
LAPATINIB	Breast Neoplasms
METHOTREXATE	Breast Neoplasms
ANASTROZOLE	Breast Neoplasms
PALBOCICLIB	Breast Neoplasms
LETROZOLE	Breast Neoplasms
MEPITIOSTANE	Breast Neoplasms
EPITIOSTANOL	Breast Neoplasms
TULOBUTEROL	Asthma
METAPROTERENOL	Asthma
FUDOSTEINE	Bronchiectasis
SULFALENE	Bronchitis
JOSAMYCIN	Bronchitis
PRULIFLOXACIN	Bronchitis, Chronic
ETAFEDRINE	Bronchitis, Chronic
FLUOXETINE	Bulimia Nervosa
SUXIBUZONE	Bursitis
PD173955	Neoplasms
HELVOLIC ACID	Candidiasis
POSACONAZOLE	Candidiasis
FLUCONAZOLE	Candidiasis
OCTREOTIDE	Carcinoid Tumor
SONIDEGIB	Carcinoma, Basal Cell
VISMODEGIB	Carcinoma, Basal Cell
IMIQUIMOD	Carcinoma, Basal Cell
GOLVATINIB	Carcinoma, Hepatocellular
OSIMERTINIB	Carcinoma, Non-Small-Cell Lung
VINORELBINE	Carcinoma, Non-Small-Cell Lung
ALECTINIB	Carcinoma, Non-Small-Cell Lung
CERITINIB	Carcinoma, Non-Small-Cell Lung
GEFITINIB	Carcinoma, Non-Small-Cell Lung
AFATINIB	Carcinoma, Non-Small-Cell Lung
SORAFENIB	Carcinoma, Renal Cell
SAVOLITINIB	Carcinoma, Renal Cell
AXITINIB	Carcinoma, Renal Cell
PAZOPANIB	Carcinoma, Renal Cell
TEMSIROLIMUS	Carcinoma, Renal Cell
VINFLUNINE	Carcinoma, Transitional Cell
NOREPINEPHRINE	Heart Arrest
SIMVASTATIN	Cardiovascular Diseases
PANTETHINE	Cardiovascular Diseases
BENDAZAC	Cataract
PIRENOXINE	Cataract
BENZNIDAZOLE	Chagas Disease
NIFURTIMOX	Chagas Disease
TIEMONIUM	Cholecystitis
TREPIBUTONE	Cholelithiasis
DEHYDROCHOLIC ACID	Cholestasis
VERTEPORFIN	Choroidal Neovascularization
ISOETHARINE	Bronchitis, Chronic
GEMIFLOXACIN	Bronchitis, Chronic
CEFDINIR	Bronchitis, Chronic
GLYCAMIL	Hepatitis C, Chronic
DACLATASVIR	Hepatitis C, Chronic
ELBASVIR	Hepatitis C, Chronic
FLUTROPIUM	Pulmonary Disease, Chronic Obstructive
CAMOSTAT	Pancreatitis, Chronic
AVILAMYCIN	Clostridium Infections
SEMDURAMICIN	Coccidiosis
NITROMIDE	Coccidiosis
ETHOPABATE	Coccidiosis
ROBENIDINE	Coccidiosis
NICARBAZIN	Coccidiosis
NOOPEPT	Cognition Disorders
VALETHAMATE	Colic
JNJ-38877605	Colorectal Neoplasms
RALTITREXED	Colorectal Neoplasms
REGORAFENIB	Colorectal Neoplasms
BROMPHENIRAMINE	Common Cold
METOLAZONE	Heart Failure
NORFLOXACIN	Conjunctivitis
EPINASTINE	Conjunctivitis, Allergic
MEDRYSONE	Conjunctivitis, Allergic
LEVOCABASTINE	Conjunctivitis, Allergic
PRUCALOPRIDE	Constipation
NALOXONE	Constipation
PHENOLPHTHALEIN	Constipation
LUBIPROSTONE	Constipation
PERINDOPRIL	Coronary Artery Disease
CHROMONAR	Coronary Artery Disease
DOCONEXENT	Coronary Disease
ETHYLMORPHINE	Cough
PHOLCODINE	Cough
PASIREOTIDE	Pituitary ACTH Hypersecretion
KETOCONAZOLE	Candidiasis, Cutaneous
IVACAFTOR	Cystic Fibrosis
FLAVOXATE	Cystitis
MICRONOMICIN	Cystitis
VALGANCICLOVIR HCL	Cytomegalovirus Retinitis
GANCICLOVIR	Cytomegalovirus Retinitis
CIDOFOVIR	Cytomegalovirus Retinitis
FOSCARNET	Cytomegalovirus Retinitis
ATIPAMEZOLE	Deep Sedation
OXIRACETAM	Dementia
XYLITOL	Dental Caries
PHENTOLAMINE	Stomatognathic Diseases
DIBENZEPIN	Depression
IMIPRAMINE	Depression
ISOCARBOXAZID	Depression
LOFEPRAMINE	Depression
AMITRIPTYLINE	Depressive Disorder
ORVEPITANT	Depressive Disorder, Major
ARIPIPRAZOLE	Depressive Disorder, Major
VILAZODONE	Depressive Disorder, Major
VORTIOXETINE	Depressive Disorder, Major
CLOBETASOL	Dermatitis
UFENAMATE	Dermatitis
DAPSONE	Dermatitis Herpetiformis
SULFOXONE	Dermatitis Herpetiformis
THENALIDINE	Dermatitis, Atopic
AMOROLFINE	Dermatomycoses
TOLNAFTATE	Tinea
HYDROCORTAMATE	Skin Diseases
LYPRESSIN	Diabetes Insipidus
CANAGLIFLOZIN	Diabetes Mellitus, Type 2
GLYBURIDE	Diabetes Mellitus, Type 2
EMPAGLIFLOZIN	Diabetes Mellitus, Type 2
MIGLITOL	Diabetes Mellitus, Type 2
TOLBUTAMIDE	Diabetes Mellitus, Type 2
GLIPIZIDE	Diabetes Mellitus, Type 2
TOFOGLIFLOZIN	Diabetes Mellitus, Type 2
GLIMEPIRIDE	Diabetes Mellitus, Type 2
ALOGLIPTIN	Diabetes Mellitus, Type 2
TENELIGLIPTIN	Diabetes Mellitus, Type 2
EPALRESTAT	Diabetic Neuropathies
UZARIN	Diarrhea
UZARIGENIN	Diarrhea
FIDAXOMICIN	Diarrhea
RIFAXIMIN	Diarrhea
LOPERAMIDE	Diarrhea
DIFENOXIN	Diarrhea
GEMEPROST	Dilatation and Curettage
LEVLOFEXIDINE	Substance-Related Disorders
FLUMAZENIL	Drug Overdose
DIQUAFOSOL	Dry Eye Syndromes
OXIGLUTATIONE	Dry Eye Syndromes
PIRENZEPINE	Duodenal Ulcer
LEVOLANSOPRAZOLE	Duodenal Ulcer
BENZILONIUM	Duodenal Ulcer
RABEPRAZOLE	Duodenal Ulcer
ROSUVASTATIN	Hyperlipoproteinemia Type III
VALNEMULIN	Dysentery
ORMELOXIFENE	Metrorrhagia
TIAPRIDE	Dyskinesias
ALBENDAZOLE	Echinococcosis
OXATOMIDE	Eczema
VANCOMYCIN	Endocarditis, Bacterial
NAFARELIN	Endometriosis
BUSERELIN	Endometriosis
DYDROGESTERONE	Endometriosis
GESTRINONE	Endometriosis
PRIFINIUM	Endoscopy, Gastrointestinal
ETHOTOIN	Epilepsy
METHARBITAL	Epilepsy
FELBAMATE	Epilepsy
METHSUXIMIDE	Epilepsy
BRIVARACETAM	Epilepsy
VIGABATRIN	Epilepsy
MIRODENAFIL	Erectile Dysfunction
SULFOMYXIN	Escherichia coli Infections
IMIPENEM	Escherichia coli Infections
CLOPROSTENOL	Estrous Cycle
SULFACETAMIDE	Eye Infections, Bacterial
BACITRACIN	Eye Infections, Bacterial
MIGALASTAT	Fabry Disease
TAFAMIDIS	Amyloid Neuropathies, Familial
COLCHICINE	Familial Mediterranean Fever
CAPROMORELIN	Feeding and Eating Disorders
CP 154526 HYDROCHLORIDE	Fever
ACETAMINOPHEN	Fever
NIFURPIRINOL	Fish Diseases
IDEBENONE	Friedreich Ataxia
OXAPIUM	Gallbladder Diseases
REVAPRAZAN	Gastritis
TIQUIZIUM	Gastritis
TROXIPIDE	Gastritis
ROXATIDINE	Gastritis
REBAMIPIDE	Gastritis
ITOPRIDE	Gastritis
MEPREDNISONE	Gastrointestinal Diseases
FLOXURIDINE	Gastrointestinal Neoplasms
METOCLOPRAMIDE	Gastroparesis
MIGLUSTAT	Gaucher Disease
ELIGLUSTAT	Gaucher Disease
TICARCILLIN	Reproductive Tract Infections
ACECLIDINE	Glaucoma
PHYSOSTIGMINE	Glaucoma
RIPASUDIL	Glaucoma
BUPRANOLOL	Glaucoma
METHAZOLAMIDE	Glaucoma
LATANOPROST	Glaucoma, Open-Angle
ACETAZOLAMIDE	Glaucoma, Open-Angle
DIPIVEFRIN	Glaucoma, Open-Angle
BRIMONIDINE	Glaucoma, Open-Angle
DEMECARIUM	Glaucoma, Open-Angle
ML299	Glioblastoma
VELIPARIB	Glioblastoma
LEVOTHYROXINE	Goiter
CEFOTAXIME	Gonorrhea
ALLOPURINOL	Gout
KANAMYCIN	Gram-Negative Bacterial Infections
PROFLAVINE	Gram-Positive Bacterial Infections
GUSPERIMUS	Granulomatosis with Polyangiitis
ALCLOMETASONE	Hand Dermatoses
CROMOLYN	Rhinitis, Allergic, Seasonal
MEQUITAZINE	Rhinitis, Allergic, Seasonal
CHLORPHENIRAMINE	Rhinitis, Allergic, Seasonal
TEGAFUR	Head and Neck Neoplasms
ASPIRIN	Headache
FONAZINE	Headache Disorders, Secondary
DOBUTAMINE	Heart Diseases
TRAPIDIL	Heart Diseases
DERENOFYLLINE	Heart Failure
ENALAPRIL	Heart Failure
IVABRADINE	Heart Failure
INAMRINONE	Heart Failure
XAMOTEROL	Heart Failure
NITROGLYCERIN	Heart Failure
DENOPAMINE	Heart Failure
LOSARTAN	Heart Failure
PIMOBENDAN	Heart Failure
OLPRINONE	Heart Failure
CARVEDILOL	Heart Failure
VESNARINONE	Heart Failure
ENOXIMONE	Heart Failure
SITAXENTAN	Heart Failure, Diastolic
HALOXON	Helminthiasis
THENIUM	Helminthiasis
DICHLORVOS	Helminthiasis
FAMPHUR	Helminthiasis
CYCLOBENDAZOLE	Helminthiasis
TICARBODINE	Helminthiasis
EMODEPSIDE	Helminthiasis
TIOXIDAZOLE	Helminthiasis
CAMBENDAZOLE	Helminthiasis
ORNIPRESSIN	Hemorrhage
ETHAMSYLATE	Hemorrhage
PAROMOMYCIN	Hepatic Encephalopathy
NEOMYCIN	Hepatic Encephalopathy
ENTECAVIR	Hepatitis B
ADEFOVIR	Hepatitis B
CLEVUDINE	Hepatitis B, Chronic
TELBIVUDINE	Hepatitis B, Chronic
VELPATASVIR	Hepatitis C
DASABUVIR	Hepatitis C, Chronic
BOCEPREVIR	Hepatitis C, Chronic
TELAPREVIR	Hepatitis C, Chronic
VX-11E	Carcinoma, Hepatocellular
PENCICLOVIR	Herpes Labialis
DOCOSANOL	Herpes Labialis
ACYCLOVIR	Herpes Simplex
EFLORNITHINE	Hirsutism
ITRACONAZOLE	Histoplasmosis
COBICISTAT	HIV Infections
EFAVIRENZ	HIV Infections
LAMIVUDINE	HIV Infections
INDINAVIR	HIV Infections
RALTEGRAVIR	HIV Infections
TIPRANAVIR	HIV Infections
ETRAVIRINE	HIV Infections
DIDANOSINE	HIV Infections
LOPINAVIR	HIV Infections
MARAVIROC	HIV Infections
ZALCITABINE	HIV Infections
NELFINAVIR	HIV Infections
ABACAVIR	HIV Infections
STAVUDINE	HIV Infections
EMTRICITABINE	HIV Infections
ATAZANAVIR	HIV Infections
RITONAVIR	HIV Infections
AMPRENAVIR	HIV Infections
MECHLORETHAMINE	Hodgkin Disease
BAZEDOXIFENE	Hot Flashes
VERALIPRIDE	Hot Flashes
PF-2545920	Huntington Disease
TETRABENAZINE	Huntington Disease
NICLOSAMIDE	Hymenolepiasis
CINACALCET	Hypercalcemia
COLESTIPOL	Hypercholesterolemia
LOMITAPIDE	Hypercholesterolemia
PROBUCOL	Hypercholesterolemia
FENOFIBRATE	Hypercholesterolemia
IMATINIB	Hypereosinophilic Syndrome
BEZAFIBRATE	Hyperlipidemias
CIPROFIBRATE	Hyperlipidemias
ATORVASTATIN	Hyperlipidemias
SIMFIBRATE	Hyperlipidemias
LOVASTATIN	Hyperlipidemias
GEMFIBROZIL	Hyperlipidemias
PARICALCITOL	Hyperparathyroidism, Secondary
DOXERCALCIFEROL	Hyperparathyroidism, Secondary
METHDILAZINE	Hypersensitivity
IRBESARTAN	Hypertension
BETAXOLOL	Hypertension
TOCOPHEROL	Hypertension
PENTOLINIUM	Hypertension
PRAZOSIN	Hypertension
FIMASARTAN	Hypertension
SPIRONOLACTONE	Hypertension
CELIPROLOL	Hypertension
MERSALYL	Hypertension
DILEVALOL	Hypertension
TELMISARTAN	Hypertension
MEFRUSIDE	Hypertension
MOEXIPRIL	Hypertension
TRICHLORMETHIAZIDE	Hypertension
NADOLOL	Hypertension
AMOSULALOL	Hypertension
LABETALOL	Hypertension
INDORAMIN	Hypertension
PINDOLOL	Hypertension
GUANETHIDINE	Hypertension
FUROSEMIDE	Hypertension
HYDROFLUMETHIAZIDE	Hypertension
AMILORIDE	Hypertension
RESCINNAMINE	Hypertension
BOPINDOLOL	Hypertension
CLEVIDIPINE	Hypertension
LISINOPRIL	Hypertension
DESERPIDINE	Hypertension
CILNIDIPINE	Hypertension
SPIRAPRIL	Hypertension
GALLOPAMIL	Hypertension
FELODIPINE	Hypertension
TALINOLOL	Hypertension
VALSARTAN	Hypertension
BUDRALAZINE	Hypertension
GUANABENZ	Hypertension
QUINETHAZONE	Hypertension
GUANADREL	Hypertension
PARGYLINE	Hypertension
EPLERENONE	Hypertension
EPROSARTAN	Hypertension
BUNAZOSIN	Hypertension
CAPOZIDE	Hypertension
INDAPAMIDE	Hypertension
FENOLDOPAM	Hypertension
CANRENONE	Hypertension
GUANFACINE	Hypertension
LERCANIDIPINE	Hypertension
TREPROSTINIL	Hypertension, Pulmonary
SELEXIPAG	Hypertension, Pulmonary
AMBRISENTAN	Hypertension, Pulmonary
SILDENAFIL	Hypertension, Pulmonary
MACITENTAN	Hypertension, Pulmonary
DIPYRONE	Fever
LIOTHYRONINE	Hyperthyroidism
ETOFIBRATE	Hypertriglyceridemia
ICOSAPENT	Hypertriglyceridemia
AMINOPENTAMIDE	Gastritis, Hypertrophic
TALBUTAL	Hypnotics and Sedatives
CALCITRIOL	Hypocalcemia
CONIVAPTAN	Hyponatremia
TOLVAPTAN	Hyponatremia
EPHEDRINE	Hypotension
AMEZINIUM	Hypotension
NORFENEFRINE	Hypotension
MIDODRINE	Hypotension, Orthostatic
RASAGILINE	Parkinson Disease
NINTEDANIB	Idiopathic Pulmonary Fibrosis
DEFLAZACORT	Immune System Diseases
CLOMIPHENE	Infertility, Female
MESTEROLONE	Infertility, Male
TINORIDINE	Inflammation
BROMFENAC	Inflammation
LANINAMIVIR	Influenza, Human
PERAMIVIR	Influenza, Human
OSELTAMIVIR	Influenza, Human
CLOTIAZEPAM	Sleep Initiation and Maintenance Disorders
FLUNITRAZEPAM	Sleep Initiation and Maintenance Disorders
NITRAZEPAM	Sleep Initiation and Maintenance Disorders
ZOPICLONE	Sleep Initiation and Maintenance Disorders
CILOSTAZOL	Intermittent Claudication
FENBENDAZOLE	Intestinal Diseases, Parasitic
CASPOFUNGIN	Abdominal Abscess
CEFTRIAXONE	Intraabdominal Infections
CEFOTETAN	Intraabdominal Infections
PAZUFLOXACIN	Intraabdominal Infections
DORIPENEM	Intraabdominal Infections
ISAVUCONAZOLE	Invasive Pulmonary Aspergillosis
DEFERIPRONE	Iron Overload
FERROCHOLINATE	Iron, Dietary
LINACLOTIDE	Irritable Bowel Syndrome
ALOSETRON	Irritable Bowel Syndrome
ELUXADOLINE	Irritable Bowel Syndrome
DICYCLOMINE	Irritable Bowel Syndrome
CIMETROPIUM	Irritable Bowel Syndrome
LEUPROLIDE	Leiomyoma
RUFINAMIDE	Lennox Gastaut Syndrome
THALIDOMIDE	Leprosy, Lepromatous
CLOFAZIMINE	Leprosy, Lepromatous
RN-1	Leukemia
NIMUSTINE	Leukemia
AZ-960	Leukemia-Lymphoma, Adult T-Cell
PENTOSTATIN	Leukemia, Hairy Cell
CLADRIBINE	Leukemia, Hairy Cell
IDELALISIB	Leukemia, Lymphocytic, Chronic, B-Cell
CHLORAMBUCIL	Leukemia, Lymphocytic, Chronic, B-Cell
FLUDARABINE	Leukemia, Lymphocytic, Chronic, B-Cell
VENETOCLAX	Leukemia, Lymphocytic, Chronic, B-Cell
VINCRISTINE	Leukemia, Lymphoid
BOSUTINIB	Leukemia, Myelogenous, Chronic, BCR-ABL Positive
BUSULFAN	Leukemia, Myelogenous, Chronic, BCR-ABL Positive
DASATINIB	Leukemia, Myelogenous, Chronic, BCR-ABL Positive
NILOTINIB	Leukemia, Myelogenous, Chronic, BCR-ABL Positive
TIAZOFURIN	Leukemia, Myeloid
THIOGUANINE	Leukemia, Myeloid, Acute
ENOCITABINE	Leukemia, Myeloid, Acute
ROMURTIDE	Leukopenia
TEFLUBENZURON	Lice Infestations
LUSUTROMBOPAG	Liver Diseases
PROTOPORPHYRIN	Liver Diseases
LOXOPROFEN	Low Back Pain
HYDROXYCHLOROQUINE	Lupus Erythematosus, Systemic
NSC-350625	Lymphoma, Non-Hodgkin
TRANYLCYPROMINE	Depressive Disorder, Major
TRAZODONE	Depressive Disorder, Major
MEFLOQUINE	Malaria
ARTEMETHER	Malaria
ARTEMISININ	Malaria, Falciparum
QUININE	Malaria, Falciparum
CEFQUINOME	Mastitis, Bovine
EPIHETACILLIN	Mastitis, Bovine
MASITINIB	Mastocytoma
DABRAFENIB	Melanoma
VEMURAFENIB	Melanoma
CYTARABINE	Meningitis
CEFTIZOXIME	Meningitis, Haemophilus
TIBOLONE	Menopause
NORETHYNODREL	Menstrual Cycle
CLOTHIAPINE	Mental Disorders
UNITHIOL	Mercury Poisoning
ARBEKACIN	Methicillin-Resistant Staphylococcus aureus
ALMOTRIPTAN	Migraine Disorders
SUMATRIPTAN	Migraine without Aura
FROVATRIPTAN	Migraine without Aura
ZOLMITRIPTAN	Migraine without Aura
SULBACTAM	Moraxella (Branhamella) catarrhalis
BUCLIZINE	Motion Sickness
FLUNARIZINE	Motion Sickness
CINNARIZINE	Motion Sickness
PHENIRAMINE	Motion Sickness
MECLIZINE	Motion Sickness
MAROPITANT	Motion Sickness
TRIHEXYPHENIDYL	Movement Disorders
BENZTROPINE	Movement Disorders
CPI203	Multiple Myeloma
CARMUSTINE	Multiple Myeloma
IXAZOMIB	Multiple Myeloma
LENALIDOMIDE	Multiple Myeloma
MELPHALAN	Multiple Myeloma
POMALIDOMIDE	Multiple Myeloma
PANOBINOSTAT	Multiple Myeloma
LAQUINIMOD	Multiple Sclerosis, Relapsing-Remitting
TRIETHYLGALLAMINE	Muscle Contraction
ATRACURIUM	Muscle Relaxation
CISATRACURIUM	Muscle Relaxation
TIMEPIDIUM	Spasm
PRIDINOL	Spasm
TIZANIDINE	Muscle Spasticity
CARISOPRODOL	Muscular Diseases
MIVACURIUM	Musculoskeletal Manipulations
ORPHENADRINE	Musculoskeletal Pain
AMBENONIUM	Myasthenia Gravis
VIOMYCIN	Mycobacterium tuberculosis
STREPTOMYCIN	Mycobacterium tuberculosis
GRISEOFULVIN	Mycoses
CLOTRIMAZOLE	Mycoses
BIFONAZOLE	Mycoses
DAPIPRAZOLE	Mydriasis
VATALANIB	Myelodysplastic Syndromes
DECITABINE	Myelodysplastic Syndromes
AZACITIDINE	Myelodysplastic Syndromes
RAMIPRIL	Myocardial Infarction
LEVETIRACETAM	Myoclonic Epilepsy, Juvenile
MODAFINIL	Narcolepsy
TETRAHYDROZOLINE	Nasal Obstruction
INDISETRON	Nausea
NABILONE	Nausea
EPERISONE	Neck Pain
GNE-493	Neoplasms
PCI-34051	Neoplasms
OMIPALISIB	Neoplasms
CYSTEAMINE	Cystinosis
ISOMETHEPTENE	Neuralgia
CAPSAICIN	Neuralgia, Postherpetic
FABOMOTIZOLE	Neurasthenia
I-BET726	Neuroblastoma
METHANTHELINE	Urinary Bladder, Neurogenic
PIXANTRONE	Lymphoma, Non-Hodgkin
PLERIXAFOR	Lymphoma, Non-Hodgkin
AMRUBICIN	Carcinoma, Non-Small-Cell Lung
OXYMETAZOLINE	Nose Diseases
METHAMPHETAMINE	Obesity
RIMONABANT	Obesity
DIRLOTAPIDE	Obesity
PAROXETINE	Obsessive-Compulsive Disorder
CAMYLOFIN	Obstetric Labor Complications
DINOPROST	Obstetric Labor Complications
METIPRANOLOL	Ocular Hypertension
TIMOLOL	Ocular Hypertension
OXYTETRACYCLINE	Eye Infections
CICLOPIROX	Onychomycosis
TERBINAFINE	Onychomycosis
BUPRENORPHINE	Opioid-Related Disorders
NALORPHINE	Opioid-Related Disorders
NAPROXEN	Osteoarthritis
FIROCOXIB	Osteoarthritis
FENOPROFEN	Osteoarthritis
CARPROFEN	Osteoarthritis
GRAPIPRANT	Osteoarthritis
ESFLURBIPROFEN	Osteoarthritis
OXANDROLONE	Osteoporosis
FINAFLOXACIN	Otitis Externa
CEFACLOR	Otitis Media
SULFISOXAZOLE	Otitis Media
AZITHROMYCIN	Otitis Media
CEFMENOXIME	Otitis Media
CARBOPLATIN	Ovarian Neoplasms
SU11274	Ovarian Neoplasms
PACLITAXEL	Ovarian Neoplasms
OLAPARIB	Ovarian Neoplasms
ALTRETAMINE	Ovarian Neoplasms
TOLTERODINE	Urinary Bladder, Overactive
CYM 5442 HYDROCHLORIDE	Pain
PROPOFOL	Pain
HALOTHANE	Pain
PROPANIDID	Pain
LEVOMENTHOL	Pain
TILETAMINE	Pain
KETOROLAC	Pain
SALCOLEX	Pain
EPTAZOCINE	Pain
FLOCTAFENINE	Pain
METHADONE	Pain
BUPIVACAINE	Pain
ISOFLURANE	Pain
OXYCODONE	Pain
PROCAINE	Pain
ETIDOCAINE	Pain
BUTORPHANOL	Pain
ENFLURANE	Pain
ARTICAINE	Pain
LEVORPHANOL	Pain
PROPOXYPHENE	Pain
METHOHEXITAL	Pain
AMFENAC	Pain
PROPARACAINE	Pain
ALFENTANIL	Pain
MORPHINE	Pain
PENTAZOCINE	Pain
KETAMINE	Pain
REMIFENTANIL	Pain
DYCLONINE	Pain
NALBUPHINE	Pain
HYDROMORPHONE	Pain
ETOMIDATE	Pain
SUFENTANIL	Pain
TRAMADOL	Somatoform Disorders
HEXOBARBITAL	Somatoform Disorders
PARECOXIB	Pain, Postoperative
ERLOTINIB	Pancreatic Neoplasms
GABEXATE	Pancreatitis
NAFAMOSTAT	Pancreatitis
MOPERONE	Paranoid Disorders
PERICIAZINE	Paranoid Disorders
TRICLABENDAZOLE	Parasitic Diseases
TOLCAPONE	Parkinson Disease
ROTIGOTINE	Parkinson Disease
ISTRADEFYLLINE	Parkinson Disease
AMANTADINE	Parkinson Disease
PIMAVANSERIN	Parkinson Disease
APOMORPHINE	Parkinson Disease
BIPERIDEN	Parkinson Disease, Postencephalitic
PIROHEPTINE	Parkinson Disease
BUDIPINE	Parkinson Disease
RIVASTIGMINE	Parkinson Disease
SELEGILINE	Parkinson Disease
TIAGABINE	Epilepsies, Partial
OXYPHENCYCLIMINE	Peptic Ulcer
EGUALEN	Peptic Ulcer
SOFALCONE	Peptic Ulcer
HEXOCYCLIUM	Peptic Ulcer
GLYCOPYRROLATE	Peptic Ulcer
DIPHEMANIL	Peptic Ulcer
