subject,predicate,object
biolink:Phenomenon,biolink:quantifier_qualifier,biolink:ChemicalSubstance
biolink:Protein,biolink:negatively_regulates_entity_to_entity,biolink:ChemicalSubstance
biolink:Protein,biolink:coexists_with,biolink:ChemicalSubstance
biolink:Phenomenon,biolink:coexists_with,biolink:ChemicalSubstance
biolink:Procedure,biolink:precedes,biolink:ChemicalSubstance
biolink:Cell,biolink:physically_interacts_with,biolink:ChemicalSubstance
biolink:GenomicEntity,biolink:has_input,biolink:ChemicalSubstance
biolink:MolecularActivity,biolink:affects,biolink:ChemicalSubstance
biolink:PhysiologicalProcess,biolink:affects,biolink:ChemicalSubstance
biolink:Gene,biolink:produces,biolink:ChemicalSubstance
biolink:CellularComponent,biolink:produces,biolink:ChemicalSubstance
biolink:PhysiologicalProcess,biolink:produces,biolink:ChemicalSubstance
biolink:Disease,biolink:produces,biolink:ChemicalSubstance
biolink:NamedThing,biolink:produces,biolink:ChemicalSubstance
biolink:Activity,biolink:produces,biolink:ChemicalSubstance
biolink:GenomicEntity,biolink:produces,biolink:ChemicalSubstance
biolink:MolecularEntity,biolink:subclass_of,biolink:MolecularEntity
biolink:ChemicalSubstance,biolink:close_match,biolink:MolecularEntity
biolink:MolecularEntity,biolink:close_match,biolink:MolecularEntity
biolink:MolecularEntity,biolink:related_to,biolink:MolecularEntity
biolink:DiseaseOrPhenotypicFeature,biolink:related_to,biolink:MolecularEntity
biolink:ChemicalSubstance,biolink:related_to,biolink:MolecularEntity
biolink:Disease,biolink:related_to,biolink:MolecularEntity
biolink:PathologicalProcess,biolink:related_to,biolink:MolecularEntity
biolink:Procedure,biolink:related_to,biolink:MolecularEntity
biolink:PhysiologicalProcess,biolink:related_to,biolink:MolecularEntity
biolink:Device,biolink:related_to,biolink:MolecularEntity
biolink:Gene,biolink:related_to,biolink:MolecularEntity
biolink:ChemicalSubstance,biolink:part_of,biolink:MolecularEntity
biolink:MolecularEntity,biolink:part_of,biolink:MolecularEntity
biolink:ChemicalSubstance,biolink:coexists_with,biolink:MolecularEntity
biolink:Gene,biolink:coexists_with,biolink:MolecularEntity
biolink:MolecularEntity,biolink:coexists_with,biolink:MolecularEntity
biolink:NamedThing,biolink:coexists_with,biolink:MolecularEntity
biolink:GenomicEntity,biolink:coexists_with,biolink:MolecularEntity
biolink:PhysiologicalProcess,biolink:located_in,biolink:MolecularEntity
biolink:MolecularActivity,biolink:located_in,biolink:MolecularEntity
biolink:MolecularEntity,biolink:physically_interacts_with,biolink:MolecularEntity
biolink:Cell,biolink:physically_interacts_with,biolink:MolecularEntity
biolink:ChemicalSubstance,biolink:physically_interacts_with,biolink:MolecularEntity
biolink:Gene,biolink:physically_interacts_with,biolink:MolecularEntity
biolink:NamedThing,biolink:physically_interacts_with,biolink:MolecularEntity
biolink:Protein,biolink:physically_interacts_with,biolink:MolecularEntity
biolink:NamedThing,biolink:quantifier_qualifier,biolink:MolecularEntity
biolink:Procedure,biolink:quantifier_qualifier,biolink:MolecularEntity
biolink:Procedure,biolink:has_input,biolink:MolecularEntity
biolink:NamedThing,biolink:has_input,biolink:MolecularEntity
biolink:PhysiologicalProcess,biolink:affects,biolink:MolecularEntity
biolink:MolecularActivity,biolink:affects,biolink:MolecularEntity
biolink:PhysiologicalProcess,biolink:produces,biolink:MolecularEntity
biolink:GrossAnatomicalStructure,biolink:produces,biolink:MolecularEntity
biolink:CellularComponent,biolink:produces,biolink:MolecularEntity
biolink:MolecularEntity,biolink:produces,biolink:MolecularEntity
biolink:Gene,biolink:produces,biolink:MolecularEntity
biolink:GenomicEntity,biolink:produces,biolink:MolecularEntity
biolink:Phenomenon,biolink:produces,biolink:MolecularEntity
biolink:PathologicalProcess,biolink:produces,biolink:MolecularEntity
biolink:Cell,biolink:produces,biolink:MolecularEntity
biolink:MolecularEntity,biolink:negatively_regulates_entity_to_entity,biolink:MolecularEntity
biolink:Protein,biolink:negatively_regulates_entity_to_entity,biolink:MolecularEntity
biolink:ChemicalSubstance,biolink:negatively_regulates_entity_to_entity,biolink:MolecularEntity
biolink:GenomicEntity,biolink:negatively_regulates_entity_to_entity,biolink:MolecularEntity
biolink:Gene,biolink:negatively_regulates_entity_to_entity,biolink:MolecularEntity
biolink:NamedThing,biolink:negatively_regulates_entity_to_entity,biolink:MolecularEntity
biolink:ChemicalSubstance,biolink:positively_regulates_entity_to_entity,biolink:MolecularEntity
biolink:MolecularEntity,biolink:positively_regulates_entity_to_entity,biolink:MolecularEntity
biolink:Gene,biolink:positively_regulates_entity_to_entity,biolink:MolecularEntity
biolink:GenomicEntity,biolink:positively_regulates_entity_to_entity,biolink:MolecularEntity
biolink:DiseaseOrPhenotypicFeature,biolink:related_to,biolink:ChemicalSubstance
biolink:InformationContentEntity,biolink:related_to,biolink:ChemicalSubstance
biolink:Protein,biolink:related_to,biolink:ChemicalSubstance
biolink:Cell,biolink:coexists_with,biolink:ChemicalSubstance
biolink:GrossAnatomicalStructure,biolink:physically_interacts_with,biolink:ChemicalSubstance
biolink:Phenomenon,biolink:has_input,biolink:ChemicalSubstance
biolink:MolecularActivity,biolink:has_input,biolink:ChemicalSubstance
biolink:Activity,biolink:has_input,biolink:ChemicalSubstance
biolink:ChemicalSubstance,biolink:produces,biolink:ChemicalSubstance
biolink:Drug,biolink:negatively_regulates_entity_to_entity,biolink:ChemicalSubstance
biolink:IndividualOrganism,biolink:physically_interacts_with,biolink:ChemicalSubstance
biolink:IndividualOrganism,biolink:produces,biolink:ChemicalSubstance
biolink:Phenomenon,biolink:produces,biolink:ChemicalSubstance
biolink:Protein,biolink:produces,biolink:ChemicalSubstance
biolink:Phenomenon,biolink:positively_regulates_entity_to_entity,biolink:ChemicalSubstance
biolink:Drug,biolink:coexists_with,biolink:ChemicalSubstance
biolink:Gene,biolink:close_match,biolink:ChemicalSubstance
biolink:ChemicalSubstance,biolink:part_of,biolink:ChemicalSubstance
biolink:BiologicalEntity,biolink:coexists_with,biolink:ChemicalSubstance
biolink:PhysiologicalProcess,biolink:located_in,biolink:ChemicalSubstance
biolink:PhysiologicalProcess,biolink:occurs_in,biolink:ChemicalSubstance
biolink:NamedThing,biolink:affects,biolink:ChemicalSubstance
biolink:Phenomenon,biolink:affects,biolink:ChemicalSubstance
biolink:BiologicalProcessOrActivity,biolink:affects,biolink:ChemicalSubstance
biolink:Procedure,biolink:produces,biolink:ChemicalSubstance
biolink:MolecularActivity,biolink:produces,biolink:ChemicalSubstance
biolink:BiologicalEntity,biolink:produces,biolink:ChemicalSubstance
biolink:AnatomicalEntity,biolink:produces,biolink:ChemicalSubstance
biolink:MolecularActivity,biolink:negatively_regulates_entity_to_entity,biolink:ChemicalSubstance
biolink:MolecularActivity,biolink:positively_regulates_entity_to_entity,biolink:ChemicalSubstance
biolink:GrossAnatomicalStructure,biolink:related_to,biolink:ChemicalSubstance
biolink:MolecularEntity,biolink:part_of,biolink:ChemicalSubstance
biolink:Activity,biolink:located_in,biolink:ChemicalSubstance
biolink:Activity,biolink:quantifier_qualifier,biolink:ChemicalSubstance
biolink:DiseaseOrPhenotypicFeature,biolink:produces,biolink:ChemicalSubstance
biolink:BiologicalProcessOrActivity,biolink:produces,biolink:ChemicalSubstance
biolink:InformationContentEntity,biolink:produces,biolink:ChemicalSubstance
biolink:Phenomenon,biolink:negatively_regulates_entity_to_entity,biolink:ChemicalSubstance
biolink:BiologicalEntity,biolink:negatively_regulates_entity_to_entity,biolink:ChemicalSubstance
biolink:Drug,biolink:has_input,biolink:ChemicalSubstance
biolink:MolecularActivity,biolink:related_to,biolink:ChemicalSubstance
biolink:ChemicalSubstance,biolink:affects,biolink:ChemicalSubstance
biolink:Drug,biolink:close_match,biolink:MolecularEntity
biolink:IndividualOrganism,biolink:related_to,biolink:MolecularEntity
biolink:Drug,biolink:related_to,biolink:MolecularEntity
biolink:IndividualOrganism,biolink:physically_interacts_with,biolink:MolecularEntity
biolink:GenomicEntity,biolink:physically_interacts_with,biolink:MolecularEntity
biolink:PhysiologicalProcess,biolink:occurs_in,biolink:MolecularEntity
biolink:MolecularEntity,biolink:affects,biolink:MolecularEntity
biolink:IndividualOrganism,biolink:produces,biolink:MolecularEntity
biolink:Device,biolink:quantifier_qualifier,biolink:ChemicalSubstance
biolink:IndividualOrganism,biolink:coexists_with,biolink:ChemicalSubstance
biolink:PhysiologicalProcess,biolink:coexists_with,biolink:ChemicalSubstance
biolink:ChemicalSubstance,biolink:subclass_of,biolink:MolecularEntity
biolink:Drug,biolink:subclass_of,biolink:MolecularEntity
biolink:NamedThing,biolink:subclass_of,biolink:MolecularEntity
biolink:Procedure,biolink:close_match,biolink:MolecularEntity
biolink:NamedThing,biolink:related_to,biolink:MolecularEntity
biolink:Phenomenon,biolink:related_to,biolink:MolecularEntity
biolink:NamedThing,biolink:part_of,biolink:MolecularEntity
biolink:Protein,biolink:coexists_with,biolink:MolecularEntity
biolink:Procedure,biolink:precedes,biolink:MolecularEntity
biolink:Activity,biolink:located_in,biolink:MolecularEntity
biolink:InformationContentEntity,biolink:quantifier_qualifier,biolink:MolecularEntity
biolink:MolecularEntity,biolink:has_input,biolink:MolecularEntity
biolink:Phenomenon,biolink:has_input,biolink:MolecularEntity
biolink:ChemicalSubstance,biolink:has_input,biolink:MolecularEntity
biolink:NamedThing,biolink:affects,biolink:MolecularEntity
biolink:ChemicalSubstance,biolink:affects,biolink:MolecularEntity
biolink:MolecularEntity,biolink:derives_into,biolink:MolecularEntity
biolink:Activity,biolink:related_to,biolink:ChemicalSubstance
biolink:Phenomenon,biolink:physically_interacts_with,biolink:ChemicalSubstance
biolink:NamedThing,biolink:derives_into,biolink:ChemicalSubstance
biolink:DiseaseOrPhenotypicFeature,biolink:has_input,biolink:ChemicalSubstance
biolink:AnatomicalEntity,biolink:related_to,biolink:ChemicalSubstance
biolink:PathologicalProcess,biolink:affects,biolink:ChemicalSubstance
biolink:Activity,biolink:close_match,biolink:ChemicalSubstance
biolink:Protein,biolink:derives_into,biolink:ChemicalSubstance
biolink:Device,biolink:close_match,biolink:ChemicalSubstance
biolink:GenomicEntity,biolink:close_match,biolink:ChemicalSubstance
biolink:Activity,biolink:affects,biolink:ChemicalSubstance
biolink:NamedThing,biolink:positively_regulates_entity_to_entity,biolink:MolecularEntity
biolink:Activity,biolink:coexists_with,biolink:ChemicalSubstance
biolink:Protein,biolink:close_match,biolink:ChemicalSubstance
biolink:Drug,biolink:physically_interacts_with,biolink:ChemicalSubstance
biolink:AnatomicalEntity,biolink:close_match,biolink:ChemicalSubstance
biolink:BiologicalProcessOrActivity,biolink:affects,biolink:MolecularEntity
biolink:NamedThing,biolink:produces,biolink:MolecularEntity
biolink:Protein,biolink:produces,biolink:MolecularEntity
biolink:Protein,biolink:subclass_of,biolink:MolecularEntity
biolink:Gene,biolink:close_match,biolink:MolecularEntity
biolink:AnatomicalEntity,biolink:close_match,biolink:MolecularEntity
biolink:InformationContentEntity,biolink:related_to,biolink:MolecularEntity
biolink:Protein,biolink:related_to,biolink:MolecularEntity
biolink:GenomicEntity,biolink:related_to,biolink:MolecularEntity
biolink:GenomicEntity,biolink:part_of,biolink:MolecularEntity
biolink:Phenomenon,biolink:coexists_with,biolink:MolecularEntity
biolink:MolecularActivity,biolink:precedes,biolink:MolecularEntity
biolink:Disease,biolink:located_in,biolink:MolecularEntity
biolink:BiologicalEntity,biolink:physically_interacts_with,biolink:MolecularEntity
biolink:Phenomenon,biolink:physically_interacts_with,biolink:MolecularEntity
biolink:NamedThing,biolink:occurs_in,biolink:MolecularEntity
biolink:Disease,biolink:occurs_in,biolink:MolecularEntity
biolink:Activity,biolink:occurs_in,biolink:MolecularEntity
biolink:Activity,biolink:quantifier_qualifier,biolink:MolecularEntity
biolink:Activity,biolink:has_input,biolink:MolecularEntity
biolink:Device,biolink:has_input,biolink:MolecularEntity
biolink:MolecularActivity,biolink:has_input,biolink:MolecularEntity
biolink:Phenomenon,biolink:affects,biolink:MolecularEntity
biolink:Disease,biolink:affects,biolink:MolecularEntity
biolink:ChemicalSubstance,biolink:produces,biolink:MolecularEntity
biolink:Disease,biolink:produces,biolink:MolecularEntity
biolink:MolecularActivity,biolink:produces,biolink:MolecularEntity
biolink:Protein,biolink:positively_regulates_entity_to_entity,biolink:MolecularEntity
biolink:ChemicalSubstance,biolink:derives_into,biolink:MolecularEntity
biolink:Protein,biolink:derives_into,biolink:MolecularEntity
biolink:GenomicEntity,biolink:derives_into,biolink:MolecularEntity
biolink:PhysiologicalProcess,biolink:quantifier_qualifier,biolink:ChemicalSubstance
biolink:Drug,biolink:positively_regulates_entity_to_entity,biolink:ChemicalSubstance
biolink:Drug,biolink:derives_into,biolink:ChemicalSubstance
biolink:Protein,biolink:has_input,biolink:ChemicalSubstance
biolink:IndividualOrganism,biolink:related_to,biolink:ChemicalSubstance
biolink:PhenotypicFeature,biolink:close_match,biolink:MolecularEntity
biolink:InformationContentEntity,biolink:has_input,biolink:MolecularEntity
biolink:NamedThing,biolink:close_match,biolink:MolecularEntity
biolink:Procedure,biolink:located_in,biolink:MolecularEntity
biolink:MolecularActivity,biolink:occurs_in,biolink:MolecularEntity
biolink:Phenomenon,biolink:quantifier_qualifier,biolink:MolecularEntity
biolink:PhysiologicalProcess,biolink:has_input,biolink:MolecularEntity
biolink:Activity,biolink:affects,biolink:MolecularEntity
biolink:Phenomenon,biolink:negatively_regulates_entity_to_entity,biolink:MolecularEntity
biolink:Activity,biolink:precedes,biolink:ChemicalSubstance
biolink:Activity,biolink:positively_regulates_entity_to_entity,biolink:ChemicalSubstance
biolink:DiseaseOrPhenotypicFeature,biolink:subclass_of,biolink:ChemicalSubstance
biolink:MolecularActivity,biolink:close_match,biolink:ChemicalSubstance
biolink:NamedThing,biolink:precedes,biolink:ChemicalSubstance
biolink:Procedure,biolink:subclass_of,biolink:MolecularEntity
biolink:BiologicalEntity,biolink:coexists_with,biolink:MolecularEntity
biolink:GenomicEntity,biolink:has_input,biolink:MolecularEntity
biolink:BiologicalEntity,biolink:positively_regulates_entity_to_entity,biolink:ChemicalSubstance
biolink:Procedure,biolink:derives_into,biolink:ChemicalSubstance
biolink:Procedure,biolink:occurs_in,biolink:MolecularEntity
biolink:IndividualOrganism,biolink:negatively_regulates_entity_to_entity,biolink:MolecularEntity
biolink:Protein,biolink:part_of,biolink:MolecularEntity
biolink:NamedThing,biolink:located_in,biolink:MolecularEntity
biolink:Procedure,biolink:affects,biolink:MolecularEntity
biolink:InformationContentEntity,biolink:affects,biolink:MolecularEntity
biolink:DiseaseOrPhenotypicFeature,biolink:produces,biolink:MolecularEntity
biolink:BiologicalProcessOrActivity,biolink:produces,biolink:MolecularEntity
biolink:PathologicalProcess,biolink:affects,biolink:MolecularEntity
biolink:Protein,biolink:close_match,biolink:MolecularEntity
biolink:GrossAnatomicalStructure,biolink:related_to,biolink:MolecularEntity
biolink:MolecularActivity,biolink:related_to,biolink:MolecularEntity
biolink:CellularComponent,biolink:physically_interacts_with,biolink:MolecularEntity
biolink:Activity,biolink:positively_regulates_entity_to_entity,biolink:MolecularEntity
biolink:Drug,biolink:positively_regulates_entity_to_entity,biolink:MolecularEntity
biolink:IndividualOrganism,biolink:subclass_of,biolink:MolecularEntity
biolink:GenomicEntity,biolink:close_match,biolink:MolecularEntity
biolink:Device,biolink:close_match,biolink:MolecularEntity
biolink:Procedure,biolink:coexists_with,biolink:MolecularEntity
biolink:AnatomicalEntity,biolink:produces,biolink:MolecularEntity
biolink:BiologicalEntity,biolink:produces,biolink:MolecularEntity
biolink:InformationContentEntity,biolink:produces,biolink:MolecularEntity
biolink:Activity,biolink:produces,biolink:MolecularEntity
biolink:Gene,biolink:derives_into,biolink:MolecularEntity
biolink:NamedThing,biolink:derives_into,biolink:MolecularEntity
biolink:IndividualOrganism,biolink:positively_regulates_entity_to_entity,biolink:ChemicalSubstance
biolink:Drug,biolink:coexists_with,biolink:MolecularEntity
biolink:NamedThing,biolink:precedes,biolink:MolecularEntity
biolink:CellularComponent,biolink:physically_interacts_with,biolink:ChemicalSubstance
biolink:BiologicalEntity,biolink:related_to,biolink:ChemicalSubstance
biolink:PathologicalProcess,biolink:has_input,biolink:ChemicalSubstance
biolink:IndividualOrganism,biolink:has_input,biolink:ChemicalSubstance
biolink:IndividualOrganism,biolink:close_match,biolink:ChemicalSubstance
biolink:Device,biolink:physically_interacts_with,biolink:ChemicalSubstance
biolink:BiologicalEntity,biolink:related_to,biolink:MolecularEntity
biolink:DiseaseOrPhenotypicFeature,biolink:physically_interacts_with,biolink:MolecularEntity
biolink:InformationContentEntity,biolink:physically_interacts_with,biolink:MolecularEntity
biolink:Protein,biolink:has_input,biolink:MolecularEntity
biolink:Procedure,biolink:produces,biolink:MolecularEntity
biolink:Disease,biolink:has_input,biolink:ChemicalSubstance
biolink:CellularComponent,biolink:coexists_with,biolink:MolecularEntity
biolink:DiseaseOrPhenotypicFeature,biolink:negatively_regulates_entity_to_entity,biolink:ChemicalSubstance
biolink:BiologicalEntity,biolink:positively_regulates_entity_to_entity,biolink:MolecularEntity
biolink:Procedure,biolink:physically_interacts_with,biolink:ChemicalSubstance
biolink:Procedure,biolink:has_input,biolink:NamedThing
biolink:Procedure,biolink:related_to,biolink:NamedThing
biolink:ChemicalSubstance,biolink:has_input,biolink:NamedThing
biolink:IndividualOrganism,biolink:has_input,biolink:NamedThing
biolink:ChemicalSubstance,biolink:related_to,biolink:NamedThing
biolink:MolecularEntity,biolink:related_to,biolink:NamedThing
biolink:NamedThing,biolink:close_match,biolink:NamedThing
biolink:CellularComponent,biolink:coexists_with,biolink:ChemicalSubstance
biolink:DiseaseOrPhenotypicFeature,biolink:quantifier_qualifier,biolink:ChemicalSubstance
biolink:Cell,biolink:related_to,biolink:ChemicalSubstance
biolink:MolecularEntity,biolink:close_match,biolink:Protein
biolink:NamedThing,biolink:close_match,biolink:Protein
biolink:Phenomenon,biolink:located_in,biolink:ChemicalSubstance
biolink:MolecularEntity,biolink:affects,biolink:ChemicalSubstance
biolink:Treatment,biolink:close_match,biolink:ChemicalSubstance
biolink:NamedThing,biolink:close_match,biolink:Device
biolink:AnatomicalEntity,biolink:part_of,biolink:MolecularEntity
biolink:DiseaseOrPhenotypicFeature,biolink:part_of,biolink:MolecularEntity
biolink:Gene,biolink:located_in,biolink:MolecularEntity
biolink:MolecularEntity,biolink:located_in,biolink:MolecularEntity
biolink:GenomicEntity,biolink:located_in,biolink:MolecularEntity
biolink:Protein,biolink:located_in,biolink:MolecularEntity
biolink:ChemicalSubstance,biolink:located_in,biolink:MolecularEntity
biolink:Gene,biolink:part_of,biolink:MolecularEntity
biolink:IndividualOrganism,biolink:part_of,biolink:MolecularEntity
biolink:DiseaseOrPhenotypicFeature,biolink:has_input,biolink:MolecularEntity
biolink:MolecularActivity,biolink:occurs_in,biolink:ChemicalSubstance
biolink:NamedThing,biolink:close_match,biolink:Cell
biolink:IndividualOrganism,biolink:coexists_with,biolink:MolecularEntity
biolink:InformationContentEntity,biolink:located_in,biolink:MolecularEntity
biolink:IndividualOrganism,biolink:positively_regulates_entity_to_entity,biolink:MolecularEntity
biolink:Phenomenon,biolink:positively_regulates_entity_to_entity,biolink:MolecularEntity
biolink:BiologicalEntity,biolink:close_match,biolink:ChemicalSubstance
biolink:ChemicalSubstance,biolink:quantifier_qualifier,biolink:ChemicalSubstance
biolink:CellularComponent,biolink:negatively_regulates_entity_to_entity,biolink:ChemicalSubstance
biolink:InformationContentEntity,biolink:coexists_with,biolink:ChemicalSubstance
biolink:AnatomicalEntity,biolink:related_to,biolink:MolecularEntity
biolink:MaterialSample,biolink:close_match,biolink:ChemicalSubstance
biolink:GrossAnatomicalStructure,biolink:has_input,biolink:ChemicalSubstance
biolink:PopulationOfIndividualOrganisms,biolink:related_to,biolink:ChemicalSubstance
biolink:BiologicalEntity,biolink:part_of,biolink:MolecularEntity
biolink:GenomicEntity,biolink:occurs_in,biolink:MolecularEntity
biolink:InformationContentEntity,biolink:occurs_in,biolink:MolecularEntity
biolink:BiologicalEntity,biolink:negatively_regulates_entity_to_entity,biolink:MolecularEntity
biolink:MolecularActivity,biolink:coexists_with,biolink:MolecularEntity
biolink:MolecularActivity,biolink:physically_interacts_with,biolink:MolecularEntity
biolink:PhysiologicalProcess,biolink:coexists_with,biolink:MolecularEntity
biolink:Disease,biolink:precedes,biolink:MolecularEntity
biolink:Disease,biolink:has_input,biolink:MolecularEntity
biolink:Phenomenon,biolink:derives_into,biolink:MolecularEntity
biolink:CellularComponent,biolink:related_to,biolink:MolecularEntity
biolink:DiseaseOrPhenotypicFeature,biolink:quantifier_qualifier,biolink:MolecularEntity
biolink:GeographicLocation,biolink:related_to,biolink:ChemicalSubstance
biolink:Activity,biolink:related_to,biolink:MolecularEntity
biolink:MolecularActivity,biolink:positively_regulates_entity_to_entity,biolink:MolecularEntity
biolink:Disease,biolink:occurs_in,biolink:IndividualOrganism
biolink:MolecularEntity,biolink:located_in,biolink:IndividualOrganism
biolink:ChemicalSubstance,biolink:located_in,biolink:IndividualOrganism
biolink:NamedThing,biolink:located_in,biolink:IndividualOrganism
biolink:Protein,biolink:located_in,biolink:IndividualOrganism
biolink:PathologicalProcess,biolink:occurs_in,biolink:IndividualOrganism
biolink:GenomicEntity,biolink:located_in,biolink:IndividualOrganism
biolink:Gene,biolink:located_in,biolink:IndividualOrganism
biolink:IndividualOrganism,biolink:subclass_of,biolink:IndividualOrganism
biolink:ChemicalSubstance,biolink:close_match,biolink:IndividualOrganism
biolink:IndividualOrganism,biolink:close_match,biolink:IndividualOrganism
biolink:NamedThing,biolink:close_match,biolink:IndividualOrganism
biolink:Disease,biolink:occurs_in,biolink:ChemicalSubstance
biolink:Protein,biolink:located_in,biolink:ChemicalSubstance
biolink:MolecularEntity,biolink:located_in,biolink:ChemicalSubstance
biolink:GenomicEntity,biolink:located_in,biolink:ChemicalSubstance
biolink:ChemicalSubstance,biolink:located_in,biolink:ChemicalSubstance
biolink:ChemicalSubstance,biolink:close_match,biolink:NamedThing
biolink:Drug,biolink:close_match,biolink:NamedThing
biolink:PhysiologicalProcess,biolink:related_to,biolink:NamedThing
biolink:NamedThing,biolink:related_to,biolink:NamedThing
biolink:IndividualOrganism,biolink:related_to,biolink:NamedThing
biolink:ChemicalSubstance,biolink:coexists_with,biolink:NamedThing
