subject,predicate,object
biolink:NamedThing,biolink:related_to,biolink:Agent
biolink:AdministrativeEntity,biolink:related_to,biolink:NamedThing
biolink:AdministrativeEntity,biolink:related_to,biolink:AdministrativeEntity
biolink:AdministrativeEntity,biolink:related_to,biolink:Agent
biolink:Agent,biolink:related_to,biolink:NamedThing
biolink:Agent,biolink:related_to,biolink:AdministrativeEntity
biolink:Agent,biolink:related_to,biolink:Agent
biolink:BiologicalEntity,biolink:related_to,biolink:NamedThing
biolink:BiologicalEntity,biolink:related_to,biolink:AdministrativeEntity
biolink:BiologicalEntity,biolink:related_to,biolink:Agent
biolink:OrganismalEntity,biolink:related_to,biolink:NamedThing
biolink:OrganismalEntity,biolink:related_to,biolink:AdministrativeEntity
biolink:OrganismalEntity,biolink:related_to,biolink:Agent
biolink:IndividualOrganism,biolink:related_to,biolink:NamedThing
biolink:IndividualOrganism,biolink:related_to,biolink:AdministrativeEntity
biolink:IndividualOrganism,biolink:related_to,biolink:Agent
biolink:Disease,biolink:related_to,biolink:NamedThing
biolink:Disease,biolink:related_to,biolink:AdministrativeEntity
biolink:Disease,biolink:related_to,biolink:Agent
biolink:DiseaseOrPhenotypicFeature,biolink:related_to,biolink:NamedThing
biolink:DiseaseOrPhenotypicFeature,biolink:related_to,biolink:AdministrativeEntity
biolink:DiseaseOrPhenotypicFeature,biolink:related_to,biolink:Agent
biolink:PhenotypicFeature,biolink:related_to,biolink:NamedThing
biolink:PhenotypicFeature,biolink:related_to,biolink:AdministrativeEntity
biolink:PhenotypicFeature,biolink:related_to,biolink:Agent
biolink:MolecularEntity,biolink:related_to,biolink:NamedThing
biolink:MolecularEntity,biolink:related_to,biolink:AdministrativeEntity
biolink:MolecularEntity,biolink:related_to,biolink:Agent
biolink:Gene,biolink:related_to,biolink:NamedThing
biolink:Gene,biolink:related_to,biolink:AdministrativeEntity
biolink:Gene,biolink:related_to,biolink:Agent
biolink:GenomicEntity,biolink:related_to,biolink:NamedThing
biolink:GenomicEntity,biolink:related_to,biolink:AdministrativeEntity
biolink:GenomicEntity,biolink:related_to,biolink:Agent
biolink:Protein,biolink:related_to,biolink:NamedThing
biolink:Protein,biolink:related_to,biolink:AdministrativeEntity
biolink:Protein,biolink:related_to,biolink:Agent
biolink:ChemicalSubstance,biolink:related_to,biolink:NamedThing
biolink:ChemicalSubstance,biolink:related_to,biolink:AdministrativeEntity
biolink:ChemicalSubstance,biolink:related_to,biolink:Agent
biolink:Drug,biolink:related_to,biolink:NamedThing
biolink:Drug,biolink:related_to,biolink:AdministrativeEntity
biolink:Drug,biolink:related_to,biolink:Agent
biolink:AnatomicalEntity,biolink:related_to,biolink:NamedThing
biolink:AnatomicalEntity,biolink:related_to,biolink:AdministrativeEntity
biolink:AnatomicalEntity,biolink:related_to,biolink:Agent
biolink:OntologyClass,biolink:related_to,biolink:NamedThing
biolink:OntologyClass,biolink:related_to,biolink:AdministrativeEntity
biolink:OntologyClass,biolink:related_to,biolink:Agent
biolink:Procedure,biolink:related_to,biolink:NamedThing
biolink:Procedure,biolink:related_to,biolink:AdministrativeEntity
biolink:Procedure,biolink:related_to,biolink:Agent
biolink:Metabolite,biolink:related_to,biolink:NamedThing
biolink:Metabolite,biolink:related_to,biolink:AdministrativeEntity
biolink:Metabolite,biolink:related_to,biolink:Agent
biolink:NamedThing,biolink:coexists_with,biolink:NamedThing
biolink:NamedThing,biolink:coexists_with,biolink:AdministrativeEntity
biolink:NamedThing,biolink:coexists_with,biolink:Agent
biolink:BiologicalEntity,biolink:coexists_with,biolink:NamedThing
biolink:BiologicalEntity,biolink:coexists_with,biolink:AdministrativeEntity
biolink:BiologicalEntity,biolink:coexists_with,biolink:Agent
biolink:AnatomicalEntity,biolink:coexists_with,biolink:NamedThing
biolink:AnatomicalEntity,biolink:coexists_with,biolink:AdministrativeEntity
biolink:AnatomicalEntity,biolink:coexists_with,biolink:Agent
biolink:OrganismalEntity,biolink:coexists_with,biolink:NamedThing
biolink:OrganismalEntity,biolink:coexists_with,biolink:AdministrativeEntity
biolink:OrganismalEntity,biolink:coexists_with,biolink:Agent
biolink:Disease,biolink:coexists_with,biolink:NamedThing
biolink:Disease,biolink:coexists_with,biolink:AdministrativeEntity
biolink:Disease,biolink:coexists_with,biolink:Agent
biolink:DiseaseOrPhenotypicFeature,biolink:coexists_with,biolink:NamedThing
biolink:DiseaseOrPhenotypicFeature,biolink:coexists_with,biolink:AdministrativeEntity
biolink:DiseaseOrPhenotypicFeature,biolink:coexists_with,biolink:Agent
biolink:PhenotypicFeature,biolink:coexists_with,biolink:NamedThing
biolink:PhenotypicFeature,biolink:coexists_with,biolink:AdministrativeEntity
biolink:PhenotypicFeature,biolink:coexists_with,biolink:Agent
biolink:BiologicalProcess,biolink:coexists_with,biolink:NamedThing
biolink:BiologicalProcess,biolink:coexists_with,biolink:AdministrativeEntity
biolink:BiologicalProcess,biolink:coexists_with,biolink:Agent
biolink:BiologicalProcessOrActivity,biolink:coexists_with,biolink:NamedThing
biolink:BiologicalProcessOrActivity,biolink:coexists_with,biolink:AdministrativeEntity
biolink:BiologicalProcessOrActivity,biolink:coexists_with,biolink:Agent
biolink:PathologicalProcess,biolink:coexists_with,biolink:NamedThing
biolink:PathologicalProcess,biolink:coexists_with,biolink:AdministrativeEntity
biolink:PathologicalProcess,biolink:coexists_with,biolink:Agent
biolink:MolecularEntity,biolink:coexists_with,biolink:NamedThing
biolink:MolecularEntity,biolink:coexists_with,biolink:AdministrativeEntity
biolink:MolecularEntity,biolink:coexists_with,biolink:Agent
biolink:GenomicEntity,biolink:coexists_with,biolink:NamedThing
biolink:GenomicEntity,biolink:coexists_with,biolink:AdministrativeEntity
biolink:GenomicEntity,biolink:coexists_with,biolink:Agent
biolink:Procedure,biolink:coexists_with,biolink:NamedThing
biolink:Procedure,biolink:coexists_with,biolink:AdministrativeEntity
biolink:Procedure,biolink:coexists_with,biolink:Agent
biolink:NamedThing,biolink:affects,biolink:NamedThing
biolink:NamedThing,biolink:affects,biolink:AdministrativeEntity
biolink:NamedThing,biolink:affects,biolink:Agent
biolink:BiologicalEntity,biolink:affects,biolink:NamedThing
biolink:BiologicalEntity,biolink:affects,biolink:AdministrativeEntity
biolink:BiologicalEntity,biolink:affects,biolink:Agent
biolink:MolecularEntity,biolink:affects,biolink:NamedThing
biolink:MolecularEntity,biolink:affects,biolink:AdministrativeEntity
biolink:MolecularEntity,biolink:affects,biolink:Agent
biolink:ChemicalSubstance,biolink:affects,biolink:NamedThing
biolink:ChemicalSubstance,biolink:affects,biolink:AdministrativeEntity
biolink:ChemicalSubstance,biolink:affects,biolink:Agent
biolink:Drug,biolink:affects,biolink:NamedThing
biolink:Drug,biolink:affects,biolink:AdministrativeEntity
biolink:Drug,biolink:affects,biolink:Agent
biolink:AnatomicalEntity,biolink:affects,biolink:NamedThing
biolink:AnatomicalEntity,biolink:affects,biolink:AdministrativeEntity
biolink:AnatomicalEntity,biolink:affects,biolink:Agent
biolink:OrganismalEntity,biolink:affects,biolink:NamedThing
biolink:OrganismalEntity,biolink:affects,biolink:AdministrativeEntity
biolink:OrganismalEntity,biolink:affects,biolink:Agent
biolink:Gene,biolink:affects,biolink:NamedThing
biolink:Gene,biolink:affects,biolink:AdministrativeEntity
biolink:Gene,biolink:affects,biolink:Agent
biolink:GenomicEntity,biolink:affects,biolink:NamedThing
biolink:GenomicEntity,biolink:affects,biolink:AdministrativeEntity
biolink:GenomicEntity,biolink:affects,biolink:Agent
biolink:Protein,biolink:affects,biolink:NamedThing
biolink:Protein,biolink:affects,biolink:AdministrativeEntity
biolink:Protein,biolink:affects,biolink:Agent
biolink:Disease,biolink:affects,biolink:NamedThing
biolink:Disease,biolink:affects,biolink:AdministrativeEntity
biolink:Disease,biolink:affects,biolink:Agent
biolink:DiseaseOrPhenotypicFeature,biolink:affects,biolink:NamedThing
biolink:DiseaseOrPhenotypicFeature,biolink:affects,biolink:AdministrativeEntity
biolink:DiseaseOrPhenotypicFeature,biolink:affects,biolink:Agent
biolink:PhenotypicFeature,biolink:affects,biolink:NamedThing
biolink:PhenotypicFeature,biolink:affects,biolink:AdministrativeEntity
biolink:PhenotypicFeature,biolink:affects,biolink:Agent
biolink:OntologyClass,biolink:affects,biolink:NamedThing
biolink:OntologyClass,biolink:affects,biolink:AdministrativeEntity
biolink:OntologyClass,biolink:affects,biolink:Agent
biolink:NamedThing,biolink:causes,biolink:NamedThing
biolink:NamedThing,biolink:causes,biolink:AdministrativeEntity
biolink:NamedThing,biolink:causes,biolink:Agent
biolink:BiologicalEntity,biolink:causes,biolink:NamedThing
biolink:BiologicalEntity,biolink:causes,biolink:AdministrativeEntity
biolink:BiologicalEntity,biolink:causes,biolink:Agent
biolink:ChemicalSubstance,biolink:causes,biolink:NamedThing
biolink:ChemicalSubstance,biolink:causes,biolink:AdministrativeEntity
biolink:ChemicalSubstance,biolink:causes,biolink:Agent
biolink:Drug,biolink:causes,biolink:NamedThing
biolink:Drug,biolink:causes,biolink:AdministrativeEntity
biolink:Drug,biolink:causes,biolink:Agent
biolink:MolecularEntity,biolink:causes,biolink:NamedThing
biolink:MolecularEntity,biolink:causes,biolink:AdministrativeEntity
biolink:MolecularEntity,biolink:causes,biolink:Agent
biolink:OntologyClass,biolink:causes,biolink:NamedThing
biolink:OntologyClass,biolink:causes,biolink:AdministrativeEntity
biolink:OntologyClass,biolink:causes,biolink:Agent
biolink:AdministrativeEntity,biolink:causes,biolink:NamedThing
biolink:AdministrativeEntity,biolink:causes,biolink:AdministrativeEntity
biolink:AdministrativeEntity,biolink:causes,biolink:Agent
biolink:Agent,biolink:causes,biolink:NamedThing
biolink:Agent,biolink:causes,biolink:AdministrativeEntity
biolink:Agent,biolink:causes,biolink:Agent
biolink:AnatomicalEntity,biolink:causes,biolink:NamedThing
biolink:AnatomicalEntity,biolink:causes,biolink:AdministrativeEntity
biolink:AnatomicalEntity,biolink:causes,biolink:Agent
biolink:OrganismalEntity,biolink:causes,biolink:NamedThing
biolink:OrganismalEntity,biolink:causes,biolink:AdministrativeEntity
biolink:OrganismalEntity,biolink:causes,biolink:Agent
biolink:NamedThing,biolink:treats,biolink:NamedThing
biolink:NamedThing,biolink:treats,biolink:AdministrativeEntity
biolink:NamedThing,biolink:treats,biolink:Agent
biolink:Procedure,biolink:treats,biolink:NamedThing
biolink:Procedure,biolink:treats,biolink:AdministrativeEntity
biolink:Procedure,biolink:treats,biolink:Agent
biolink:AdministrativeEntity,biolink:treats,biolink:NamedThing
biolink:AdministrativeEntity,biolink:treats,biolink:AdministrativeEntity
biolink:AdministrativeEntity,biolink:treats,biolink:Agent
biolink:Agent,biolink:treats,biolink:NamedThing
biolink:Agent,biolink:treats,biolink:AdministrativeEntity
biolink:Agent,biolink:treats,biolink:Agent
biolink:BiologicalEntity,biolink:treats,biolink:NamedThing
biolink:BiologicalEntity,biolink:treats,biolink:AdministrativeEntity
biolink:BiologicalEntity,biolink:treats,biolink:Agent
biolink:ChemicalSubstance,biolink:treats,biolink:NamedThing
biolink:ChemicalSubstance,biolink:treats,biolink:AdministrativeEntity
biolink:ChemicalSubstance,biolink:treats,biolink:Agent
biolink:Drug,biolink:treats,biolink:NamedThing
biolink:Drug,biolink:treats,biolink:AdministrativeEntity
biolink:Drug,biolink:treats,biolink:Agent
biolink:MolecularEntity,biolink:treats,biolink:NamedThing
biolink:MolecularEntity,biolink:treats,biolink:AdministrativeEntity
biolink:MolecularEntity,biolink:treats,biolink:Agent
biolink:OntologyClass,biolink:treats,biolink:NamedThing
biolink:OntologyClass,biolink:treats,biolink:AdministrativeEntity
biolink:OntologyClass,biolink:treats,biolink:Agent
biolink:Device,biolink:treats,biolink:NamedThing
biolink:Device,biolink:treats,biolink:AdministrativeEntity
biolink:Device,biolink:treats,biolink:Agent
biolink:BiologicalProcess,biolink:treats,biolink:NamedThing
biolink:BiologicalProcess,biolink:treats,biolink:AdministrativeEntity
biolink:BiologicalProcess,biolink:treats,biolink:Agent
biolink:BiologicalProcessOrActivity,biolink:treats,biolink:NamedThing
biolink:BiologicalProcessOrActivity,biolink:treats,biolink:AdministrativeEntity
biolink:BiologicalProcessOrActivity,biolink:treats,biolink:Agent
biolink:PhysiologicalProcess,biolink:treats,biolink:NamedThing
biolink:PhysiologicalProcess,biolink:treats,biolink:AdministrativeEntity
biolink:PhysiologicalProcess,biolink:treats,biolink:Agent
biolink:Disease,biolink:treats,biolink:NamedThing
biolink:Disease,biolink:treats,biolink:AdministrativeEntity
biolink:Disease,biolink:treats,biolink:Agent
biolink:DiseaseOrPhenotypicFeature,biolink:treats,biolink:NamedThing
biolink:DiseaseOrPhenotypicFeature,biolink:treats,biolink:AdministrativeEntity
biolink:DiseaseOrPhenotypicFeature,biolink:treats,biolink:Agent
biolink:PhenotypicFeature,biolink:treats,biolink:NamedThing
biolink:PhenotypicFeature,biolink:treats,biolink:AdministrativeEntity
biolink:PhenotypicFeature,biolink:treats,biolink:Agent
biolink:NamedThing,biolink:positively_regulates,biolink:NamedThing
biolink:NamedThing,biolink:positively_regulates,biolink:AdministrativeEntity
biolink:NamedThing,biolink:positively_regulates,biolink:Agent
biolink:BiologicalEntity,biolink:positively_regulates,biolink:NamedThing
biolink:BiologicalEntity,biolink:positively_regulates,biolink:AdministrativeEntity
biolink:BiologicalEntity,biolink:positively_regulates,biolink:Agent
biolink:MolecularEntity,biolink:positively_regulates,biolink:NamedThing
biolink:MolecularEntity,biolink:positively_regulates,biolink:AdministrativeEntity
biolink:MolecularEntity,biolink:positively_regulates,biolink:Agent
biolink:AnatomicalEntity,biolink:positively_regulates,biolink:NamedThing
biolink:AnatomicalEntity,biolink:positively_regulates,biolink:AdministrativeEntity
biolink:AnatomicalEntity,biolink:positively_regulates,biolink:Agent
biolink:OrganismalEntity,biolink:positively_regulates,biolink:NamedThing
biolink:OrganismalEntity,biolink:positively_regulates,biolink:AdministrativeEntity
biolink:OrganismalEntity,biolink:positively_regulates,biolink:Agent
biolink:Gene,biolink:positively_regulates,biolink:NamedThing
biolink:Gene,biolink:positively_regulates,biolink:AdministrativeEntity
biolink:Gene,biolink:positively_regulates,biolink:Agent
biolink:GenomicEntity,biolink:positively_regulates,biolink:NamedThing
biolink:GenomicEntity,biolink:positively_regulates,biolink:AdministrativeEntity
biolink:GenomicEntity,biolink:positively_regulates,biolink:Agent
biolink:Protein,biolink:positively_regulates,biolink:NamedThing
biolink:Protein,biolink:positively_regulates,biolink:AdministrativeEntity
biolink:Protein,biolink:positively_regulates,biolink:Agent
biolink:ChemicalSubstance,biolink:positively_regulates,biolink:NamedThing
biolink:ChemicalSubstance,biolink:positively_regulates,biolink:AdministrativeEntity
biolink:ChemicalSubstance,biolink:positively_regulates,biolink:Agent
biolink:Drug,biolink:positively_regulates,biolink:NamedThing
biolink:Drug,biolink:positively_regulates,biolink:AdministrativeEntity
biolink:Drug,biolink:positively_regulates,biolink:Agent
biolink:OntologyClass,biolink:positively_regulates,biolink:NamedThing
biolink:OntologyClass,biolink:positively_regulates,biolink:AdministrativeEntity
biolink:OntologyClass,biolink:positively_regulates,biolink:Agent
biolink:NamedThing,biolink:disrupts,biolink:NamedThing
biolink:NamedThing,biolink:disrupts,biolink:AdministrativeEntity
biolink:NamedThing,biolink:disrupts,biolink:Agent
biolink:BiologicalEntity,biolink:disrupts,biolink:NamedThing
biolink:BiologicalEntity,biolink:disrupts,biolink:AdministrativeEntity
biolink:BiologicalEntity,biolink:disrupts,biolink:Agent
biolink:MolecularEntity,biolink:disrupts,biolink:NamedThing
biolink:MolecularEntity,biolink:disrupts,biolink:AdministrativeEntity
biolink:MolecularEntity,biolink:disrupts,biolink:Agent
biolink:ChemicalSubstance,biolink:disrupts,biolink:NamedThing
biolink:ChemicalSubstance,biolink:disrupts,biolink:AdministrativeEntity
biolink:ChemicalSubstance,biolink:disrupts,biolink:Agent
biolink:Drug,biolink:disrupts,biolink:NamedThing
biolink:Drug,biolink:disrupts,biolink:AdministrativeEntity
biolink:Drug,biolink:disrupts,biolink:Agent
biolink:Procedure,biolink:disrupts,biolink:NamedThing
biolink:Procedure,biolink:disrupts,biolink:AdministrativeEntity
biolink:Procedure,biolink:disrupts,biolink:Agent
biolink:OntologyClass,biolink:disrupts,biolink:NamedThing
biolink:OntologyClass,biolink:disrupts,biolink:AdministrativeEntity
biolink:OntologyClass,biolink:disrupts,biolink:Agent
biolink:OntologyClass,biolink:biomarker_for,biolink:NamedThing
biolink:OntologyClass,biolink:biomarker_for,biolink:AdministrativeEntity
biolink:OntologyClass,biolink:biomarker_for,biolink:Agent
biolink:NamedThing,biolink:biomarker_for,biolink:NamedThing
biolink:NamedThing,biolink:biomarker_for,biolink:AdministrativeEntity
biolink:NamedThing,biolink:biomarker_for,biolink:Agent
biolink:Procedure,biolink:biomarker_for,biolink:NamedThing
biolink:Procedure,biolink:biomarker_for,biolink:AdministrativeEntity
biolink:Procedure,biolink:biomarker_for,biolink:Agent
biolink:BiologicalEntity,biolink:biomarker_for,biolink:NamedThing
biolink:BiologicalEntity,biolink:biomarker_for,biolink:AdministrativeEntity
biolink:BiologicalEntity,biolink:biomarker_for,biolink:Agent
biolink:AnatomicalEntity,biolink:biomarker_for,biolink:NamedThing
biolink:AnatomicalEntity,biolink:biomarker_for,biolink:AdministrativeEntity
biolink:AnatomicalEntity,biolink:biomarker_for,biolink:Agent
biolink:OrganismalEntity,biolink:biomarker_for,biolink:NamedThing
biolink:OrganismalEntity,biolink:biomarker_for,biolink:AdministrativeEntity
biolink:OrganismalEntity,biolink:biomarker_for,biolink:Agent
biolink:NamedThing,biolink:prevents,biolink:NamedThing
biolink:NamedThing,biolink:prevents,biolink:AdministrativeEntity
biolink:NamedThing,biolink:prevents,biolink:Agent
biolink:Procedure,biolink:prevents,biolink:NamedThing
biolink:Procedure,biolink:prevents,biolink:AdministrativeEntity
biolink:Procedure,biolink:prevents,biolink:Agent
biolink:BiologicalEntity,biolink:prevents,biolink:NamedThing
biolink:BiologicalEntity,biolink:prevents,biolink:AdministrativeEntity
biolink:BiologicalEntity,biolink:prevents,biolink:Agent
biolink:ChemicalSubstance,biolink:prevents,biolink:NamedThing
biolink:ChemicalSubstance,biolink:prevents,biolink:AdministrativeEntity
biolink:ChemicalSubstance,biolink:prevents,biolink:Agent
biolink:Drug,biolink:prevents,biolink:NamedThing
biolink:Drug,biolink:prevents,biolink:AdministrativeEntity
biolink:Drug,biolink:prevents,biolink:Agent
biolink:MolecularEntity,biolink:prevents,biolink:NamedThing
biolink:MolecularEntity,biolink:prevents,biolink:AdministrativeEntity
biolink:MolecularEntity,biolink:prevents,biolink:Agent
biolink:AdministrativeEntity,biolink:prevents,biolink:NamedThing
biolink:AdministrativeEntity,biolink:prevents,biolink:AdministrativeEntity
biolink:AdministrativeEntity,biolink:prevents,biolink:Agent
biolink:Agent,biolink:prevents,biolink:NamedThing
biolink:Agent,biolink:prevents,biolink:AdministrativeEntity
biolink:Agent,biolink:prevents,biolink:Agent
biolink:Gene,biolink:prevents,biolink:NamedThing
biolink:Gene,biolink:prevents,biolink:AdministrativeEntity
biolink:Gene,biolink:prevents,biolink:Agent
biolink:GenomicEntity,biolink:prevents,biolink:NamedThing
biolink:GenomicEntity,biolink:prevents,biolink:AdministrativeEntity
biolink:GenomicEntity,biolink:prevents,biolink:Agent
biolink:Protein,biolink:prevents,biolink:NamedThing
biolink:Protein,biolink:prevents,biolink:AdministrativeEntity
biolink:Protein,biolink:prevents,biolink:Agent
biolink:NamedThing,biolink:predisposes,biolink:NamedThing
biolink:NamedThing,biolink:predisposes,biolink:AdministrativeEntity
biolink:NamedThing,biolink:predisposes,biolink:Agent
biolink:BiologicalEntity,biolink:predisposes,biolink:NamedThing
biolink:BiologicalEntity,biolink:predisposes,biolink:AdministrativeEntity
biolink:BiologicalEntity,biolink:predisposes,biolink:Agent
biolink:ChemicalSubstance,biolink:predisposes,biolink:NamedThing
biolink:ChemicalSubstance,biolink:predisposes,biolink:AdministrativeEntity
biolink:ChemicalSubstance,biolink:predisposes,biolink:Agent
biolink:Drug,biolink:predisposes,biolink:NamedThing
biolink:Drug,biolink:predisposes,biolink:AdministrativeEntity
biolink:Drug,biolink:predisposes,biolink:Agent
biolink:MolecularEntity,biolink:predisposes,biolink:NamedThing
biolink:MolecularEntity,biolink:predisposes,biolink:AdministrativeEntity
biolink:MolecularEntity,biolink:predisposes,biolink:Agent
biolink:GenomicEntity,biolink:predisposes,biolink:NamedThing
biolink:GenomicEntity,biolink:predisposes,biolink:AdministrativeEntity
biolink:GenomicEntity,biolink:predisposes,biolink:Agent
biolink:Gene,biolink:predisposes,biolink:NamedThing
biolink:Gene,biolink:predisposes,biolink:AdministrativeEntity
biolink:Gene,biolink:predisposes,biolink:Agent
biolink:Protein,biolink:predisposes,biolink:NamedThing
biolink:Protein,biolink:predisposes,biolink:AdministrativeEntity
biolink:Protein,biolink:predisposes,biolink:Agent
biolink:RNAProduct,biolink:predisposes,biolink:NamedThing
biolink:RNAProduct,biolink:predisposes,biolink:AdministrativeEntity
biolink:RNAProduct,biolink:predisposes,biolink:Agent
biolink:Transcript,biolink:predisposes,biolink:NamedThing
biolink:Transcript,biolink:predisposes,biolink:AdministrativeEntity
biolink:Transcript,biolink:predisposes,biolink:Agent
biolink:OntologyClass,biolink:predisposes,biolink:NamedThing
biolink:OntologyClass,biolink:predisposes,biolink:AdministrativeEntity
biolink:OntologyClass,biolink:predisposes,biolink:Agent
biolink:Disease,biolink:predisposes,biolink:NamedThing
biolink:Disease,biolink:predisposes,biolink:AdministrativeEntity
biolink:Disease,biolink:predisposes,biolink:Agent
biolink:DiseaseOrPhenotypicFeature,biolink:predisposes,biolink:NamedThing
biolink:DiseaseOrPhenotypicFeature,biolink:predisposes,biolink:AdministrativeEntity
biolink:DiseaseOrPhenotypicFeature,biolink:predisposes,biolink:Agent
biolink:PhenotypicFeature,biolink:predisposes,biolink:NamedThing
biolink:PhenotypicFeature,biolink:predisposes,biolink:AdministrativeEntity
biolink:PhenotypicFeature,biolink:predisposes,biolink:Agent
biolink:AnatomicalEntity,biolink:predisposes,biolink:NamedThing
biolink:AnatomicalEntity,biolink:predisposes,biolink:AdministrativeEntity
biolink:AnatomicalEntity,biolink:predisposes,biolink:Agent
biolink:OrganismalEntity,biolink:predisposes,biolink:NamedThing
biolink:OrganismalEntity,biolink:predisposes,biolink:AdministrativeEntity
biolink:OrganismalEntity,biolink:predisposes,biolink:Agent
biolink:NamedThing,biolink:manifestation_of,biolink:NamedThing
biolink:NamedThing,biolink:manifestation_of,biolink:AdministrativeEntity
biolink:NamedThing,biolink:manifestation_of,biolink:Agent
biolink:BiologicalEntity,biolink:manifestation_of,biolink:NamedThing
biolink:BiologicalEntity,biolink:manifestation_of,biolink:AdministrativeEntity
biolink:BiologicalEntity,biolink:manifestation_of,biolink:Agent
biolink:Disease,biolink:manifestation_of,biolink:NamedThing
biolink:Disease,biolink:manifestation_of,biolink:AdministrativeEntity
