"id","name"
"GO:0010365","positive regulation of ethylene biosynthetic process"
"GO:1905002","positive regulation of membrane repolarization during atrial cardiac muscle cell action potential"
"GO:0021740","principal sensory nucleus of trigeminal nerve development"
"GO:0015842","aminergic neurotransmitter loading into synaptic vesicle"
"GO:1903618","regulation of transdifferentiation"
"GO:0007306","eggshell chorion assembly"
"GO:0071543","diphosphoinositol polyphosphate metabolic process"
"GO:0045969","positive regulation of juvenile hormone biosynthetic process"
"GO:0032465","regulation of cytokinesis"
"GO:0009588","UV-A, blue light phototransduction"
"GO:0007295","growth of a germarium-derived egg chamber"
"GO:0032964","collagen biosynthetic process"
"GO:1902872","regulation of horizontal cell localization"
"GO:0098786","biofilm matrix disassembly"
"GO:0032670","regulation of interleukin-26 production"
"GO:0008062","eclosion rhythm"
"GO:1904694","negative regulation of vascular smooth muscle contraction"
"GO:0032653","regulation of interleukin-10 production"
"GO:1901989","positive regulation of cell cycle phase transition"
"GO:0032664","regulation of interleukin-20 production"
"GO:0060222","regulation of retinal cone cell fate commitment"
"GO:0003062","regulation of heart rate by chemical signal"
"GO:0099557","trans-synaptic signaling by trans-synaptic complex, modulating synaptic transmission"
"GO:2000263","regulation of blood coagulation, extrinsic pathway"
"GO:0030199","collagen fibril organization"
"GO:0072089","stem cell proliferation"
"GO:0038017","Wnt receptor internalization"
"GO:1903762","positive regulation of voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization"
"GO:0061323","cell proliferation involved in heart morphogenesis"
"GO:0022410","circadian sleep/wake cycle process"
"GO:0032676","regulation of interleukin-7 production"
"GO:2000690","regulation of cardiac muscle cell myoblast differentiation"
"GO:0048817","negative regulation of hair follicle maturation"
"GO:0061417","negative regulation of transcription from RNA polymerase II promoter in response to oxidative stress"
"GO:0006528","asparagine metabolic process"
"GO:0061376","mammillotegmental axonal tract development"
"GO:1904540","positive regulation of glycolytic process through fructose-6-phosphate"
"GO:0035284","brain segmentation"
"GO:0035172","hemocyte proliferation"
"GO:1901845","negative regulation of cell communication by electrical coupling involved in cardiac conduction"
"GO:1905661","regulation of telomerase RNA reverse transcriptase activity"
"GO:0006829","zinc ion transport"
"GO:0061046","regulation of branching involved in lung morphogenesis"
"GO:1901841","regulation of high voltage-gated calcium channel activity"
"GO:0070341","fat cell proliferation"
"GO:1905025","negative regulation of membrane repolarization during ventricular cardiac muscle cell action potential"
"GO:0032655","regulation of interleukin-12 production"
"GO:0001834","trophectodermal cell proliferation"
"GO:0009742","brassinosteroid mediated signaling pathway"
"GO:1901735","(R)-mevalonic acid metabolic process"
"GO:1902869","regulation of amacrine cell differentiation"
"GO:1903589","positive regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis"
"GO:0032678","regulation of interleukin-9 production"
"GO:0017121","phospholipid scrambling"
"GO:0090215","regulation of 1-phosphatidylinositol-4-phosphate 5-kinase activity"
"GO:1990654","sebum secreting cell proliferation"
"GO:0035881","amacrine cell differentiation"
"GO:0009683","indoleacetic acid metabolic process"
"GO:0015872","dopamine transport"
"GO:0050673","epithelial cell proliferation"
"GO:0032663","regulation of interleukin-2 production"
"GO:0010750","positive regulation of nitric oxide mediated signal transduction"
"GO:0030538","embryonic genitalia morphogenesis"
"GO:0071851","mitotic G1 cell cycle arrest in response to nitrogen starvation"
"GO:0045671","negative regulation of osteoclast differentiation"
"GO:0097377","spinal cord interneuron axon guidance"
"GO:0018924","mandelate metabolic process"
"GO:0002683","negative regulation of immune system process"
"GO:0045385","negative regulation of interleukin-19 biosynthetic process"
"GO:0010585","glutamine secretion"
"GO:0072190","ureter urothelium development"
"GO:0032443","regulation of ergosterol biosynthetic process"
"GO:0010463","mesenchymal cell proliferation"
"GO:0032643","regulation of connective tissue growth factor production"
"GO:0002067","glandular epithelial cell differentiation"
"GO:0052695","cellular glucuronidation"
"GO:0035622","intrahepatic bile duct development"
"GO:0017062","respiratory chain complex III assembly"
"GO:0060722","cell proliferation involved in embryonic placenta development"
"GO:0032118","horsetail-astral microtubule organization"
"GO:0007629","flight behavior"
"GO:0018871","1-aminocyclopropane-1-carboxylate metabolic process"
"GO:0061076","negative regulation of neural retina development"
"GO:0035736","cell proliferation involved in compound eye morphogenesis"
"GO:0033619","membrane protein proteolysis"
"GO:0032677","regulation of interleukin-8 production"
"GO:0010248","establishment or maintenance of transmembrane electrochemical gradient"
"GO:0060018","astrocyte fate commitment"
"GO:2000195","negative regulation of female gonad development"
"GO:0032662","regulation of interleukin-19 production"
"GO:1904816","positive regulation of protein localization to chromosome, telomeric region"
"GO:0090255","cell proliferation involved in imaginal disc-derived wing morphogenesis"
"GO:1905621","positive regulation of alpha-(1->3)-fucosyltransferase activity"
"GO:0080184","response to phenylpropanoid"
"GO:0009220","pyrimidine ribonucleotide biosynthetic process"
"GO:0090208","positive regulation of triglyceride metabolic process"
"GO:0009687","abscisic acid metabolic process"
"GO:0032652","regulation of interleukin-1 production"
"GO:0017185","peptidyl-lysine hydroxylation"
"GO:0010710","regulation of collagen catabolic process"
"GO:0043297","apical junction assembly"
"GO:0051248","negative regulation of protein metabolic process"
"GO:0003170","heart valve development"
"GO:0015315","organophosphate:inorganic phosphate antiporter activity"
"GO:0002921","negative regulation of humoral immune response"
"GO:2000503","positive regulation of natural killer cell chemotaxis"
"GO:0061075","positive regulation of neural retina development"
"GO:1904305","negative regulation of gastro-intestinal system smooth muscle contraction"
"GO:0008333","endosome to lysosome transport"
"GO:0002941","synoviocyte proliferation"
"GO:0006675","mannosyl-inositol phosphorylceramide metabolic process"
"GO:0072342","response to anion stress"
"GO:0036093","germ cell proliferation"
"GO:0061683","branching involved in seminal vesicle morphogenesis"
"GO:0032672","regulation of interleukin-3 production"
"GO:0021836","chemorepulsion involved in postnatal olfactory bulb interneuron migration"
"GO:0061351","neural precursor cell proliferation"
"GO:0070473","negative regulation of uterine smooth muscle contraction"
"GO:0072197","ureter morphogenesis"
"GO:0061447","endocardial cushion cell fate specification"
"GO:0032656","regulation of interleukin-13 production"
"GO:0019297","coenzyme B metabolic process"
"GO:0090288","negative regulation of cellular response to growth factor stimulus"
"GO:0033002","muscle cell proliferation"
"GO:0002018","renin-angiotensin regulation of aldosterone production"
"GO:0003419","growth plate cartilage chondrocyte proliferation"
"GO:0006063","uronic acid metabolic process"
"GO:0044347","cell wall polysaccharide catabolic process"
"GO:0032671","regulation of interleukin-27 production"
"GO:1904140","negative regulation of microglial cell migration"
"GO:0032668","regulation of interleukin-24 production"
"GO:0090221","mitotic spindle-templated microtubule nucleation"
"GO:1903817","negative regulation of voltage-gated potassium channel activity"
"GO:0050977","magnetoreception by sensory perception of chemical stimulus"
"GO:0050795","regulation of behavior"
"GO:0071335","hair follicle cell proliferation"
"GO:0070168","negative regulation of biomineral tissue development"
"GO:0060224","regulation of retinal rod cell fate commitment"
"GO:0070754","regulation of interleukin-35 production"
"GO:0002034","regulation of blood vessel diameter by renin-angiotensin"
"GO:0030152","bacteriocin biosynthetic process"
"GO:0060517","epithelial cell proliferation involved in prostatic bud elongation"
"GO:0071849","G1 cell cycle arrest in response to nitrogen starvation"
"GO:1905680","regulation of innate immunity memory response"
"GO:0070910","cell wall macromolecule catabolic process involved in cell wall disassembly"
"GO:0021521","ventral spinal cord interneuron specification"
"GO:1902261","positive regulation of delayed rectifier potassium channel activity"
"GO:1902497","iron-sulfur cluster transport"
"GO:0071504","cellular response to heparin"
"GO:0098901","regulation of cardiac muscle cell action potential"
"GO:0051026","chiasma assembly"
"GO:0009451","RNA modification"
"GO:0070661","leukocyte proliferation"
"GO:0071661","regulation of granzyme B production"
"GO:0051000","positive regulation of nitric-oxide synthase activity"
"GO:0031990","mRNA export from nucleus in response to heat stress"
"GO:0060451","negative regulation of hindgut contraction"
"GO:0033395","beta-alanine biosynthetic process via 3-hydroxypropionate"
"GO:0018898","2,4-dichlorobenzoate metabolic process"
"GO:2000793","cell proliferation involved in heart valve development"
"GO:0014009","glial cell proliferation"
"GO:0009694","jasmonic acid metabolic process"
"GO:1905484","negative regulation of motor neuron migration"
"GO:0007585","respiratory gaseous exchange"
"GO:0021868","ventricular zone cell-producing asymmetric radial glial cell division in forebrain"
"GO:2000621","regulation of DNA replication termination"
"GO:1904319","negative regulation of smooth muscle contraction involved in micturition"
"GO:0032666","regulation of interleukin-22 production"
"GO:0006625","protein targeting to peroxisome"
"GO:0019654","acetate fermentation"
"GO:0018217","peptidyl-aspartic acid phosphorylation"
"GO:1905003","picolinic acid metabolic process"
"GO:0032661","regulation of interleukin-18 production"
"GO:1904782","negative regulation of NMDA glutamate receptor activity"
"GO:0039531","regulation of viral-induced cytoplasmic pattern recognition receptor signaling pathway"
"GO:0007489","maintenance of imaginal histoblast diploidy"
"GO:0014733","regulation of skeletal muscle adaptation"
"GO:0048134","germ-line cyst formation"
"GO:0032119","sequestering of zinc ion"
"GO:0019922","protein-chromophore linkage via peptidyl-cysteine"
"GO:0032328","alanine transport"
"GO:0003221","right ventricular cardiac muscle tissue morphogenesis"
"GO:1905673","positive regulation of lysosome organization"
"GO:0018901","2,4-dichlorophenoxyacetic acid metabolic process"
"GO:0042770","signal transduction in response to DNA damage"
"GO:1905124","negative regulation of glucosylceramidase activity"
"GO:0001833","inner cell mass cell proliferation"
"GO:0035988","chondrocyte proliferation"
"GO:1904870","negative regulation of protein localization to Cajal body"
"GO:0019100","male germ-line sex determination"
"GO:0060221","retinal rod cell differentiation"
"GO:0060627","regulation of vesicle-mediated transport"
"GO:0032658","regulation of interleukin-15 production"
"GO:0012501","programmed cell death"
"GO:0036176","response to neutral pH"
"GO:0060543","negative regulation of strand invasion"
"GO:2001257","regulation of cation channel activity"
"GO:0021592","fourth ventricle development"
"GO:0036158","outer dynein arm assembly"
"GO:1904779","regulation of protein localization to centrosome"
"GO:0034149","positive regulation of toll-like receptor 5 signaling pathway"
"GO:1902990","mitotic telomere maintenance via semi-conservative replication"
"GO:0061379","inferior colliculus development"
"GO:0099539","neuropeptide secretion from presynapse"
"GO:0005992","trehalose biosynthetic process"
"GO:0090657","telomeric loop disassembly"
"GO:1905797","negative regulation of intraciliary anterograde transport"
"GO:0019251","anaerobic cobalamin biosynthetic process"
"GO:0001947","heart looping"
"GO:0032598","B cell receptor transport into immunological synapse"
"GO:0003190","atrioventricular valve formation"
"GO:0061484","hematopoietic stem cell homeostasis"
"GO:0033182","regulation of histone ubiquitination"
"GO:0097291","renal phosphate ion absorption"
"GO:0019651","citrate catabolic process to diacetyl"
"GO:0031054","pre-miRNA processing"
"GO:0042340","keratan sulfate catabolic process"
"GO:0070471","uterine smooth muscle contraction"
"GO:0017015","regulation of transforming growth factor beta receptor signaling pathway"
"GO:0032693","negative regulation of interleukin-10 production"
"GO:0014038","regulation of Schwann cell differentiation"
"GO:0007487","analia development"
"GO:0048722","anterior cibarial plate development"
"GO:1905853","regulation of heparan sulfate binding"
"GO:0002742","regulation of cytokine biosynthetic process involved in immune response"
"GO:0071907","determination of digestive tract left/right asymmetry"
"GO:0033562","co-transcriptional gene silencing by RNA interference machinery"
"GO:0072055","renal cortex development"
"GO:0098676","modulation of host virulence by virus"
"GO:0035508","positive regulation of myosin-light-chain-phosphatase activity"
"GO:1904762","positive regulation of myofibroblast differentiation"
"GO:0051356","visual perception involved in equilibrioception"
"GO:0050955","thermoception"
"GO:1900369","negative regulation of RNA interference"
"GO:0061762","CAMKK-AMPK signaling cascade"
"GO:0021516","dorsal spinal cord development"
"GO:0046586","regulation of calcium-dependent cell-cell adhesion"
"GO:0002012","vasoconstriction of artery involved in chemoreceptor response to lowering of systemic arterial blood pressure"
"GO:0007189","adenylate cyclase-activating G-protein coupled receptor signaling pathway"
"GO:0035905","ascending aorta development"
"GO:0002566","somatic diversification of immune receptors via somatic mutation"
"GO:0006382","adenosine to inosine editing"
"GO:0035019","somatic stem cell population maintenance"
"GO:0055001","muscle cell development"
"GO:0043268","positive regulation of potassium ion transport"
"GO:0042173","regulation of sporulation resulting in formation of a cellular spore"
"GO:0001820","serotonin secretion"
"GO:0006362","transcription elongation from RNA polymerase I promoter"
"GO:0015110","cyanate transmembrane transporter activity"
"GO:0072684","mitochondrial tRNA 3'-trailer cleavage, endonucleolytic"
"GO:0014033","neural crest cell differentiation"
"GO:0070286","axonemal dynein complex assembly"
"GO:0000732","strand displacement"
"GO:1903234","negative regulation of calcium ion-dependent exocytosis of neurotransmitter"
"GO:0046822","regulation of nucleocytoplasmic transport"
"GO:0060287","epithelial cilium movement involved in determination of left/right asymmetry"
"GO:0045690","positive regulation of antipodal cell differentiation"
"GO:0071768","mycolic acid biosynthetic process"
"GO:0086014","atrial cardiac muscle cell action potential"
"GO:0016553","base conversion or substitution editing"
"GO:0034414","tRNA 3'-trailer cleavage, endonucleolytic"
"GO:0060692","mesenchymal cell differentiation involved in salivary gland development"
"GO:0060061","Spemann organizer formation"
"GO:0061054","dermatome development"
"GO:0003360","brainstem development"
"GO:0042744","hydrogen peroxide catabolic process"
"GO:2000374","regulation of oxygen metabolic process"
"GO:0099120","socially cooperative development"
"GO:1904430","negative regulation of t-circle formation"
"GO:0002862","negative regulation of inflammatory response to antigenic stimulus"
"GO:1905214","regulation of RNA binding"
"GO:0035319","imaginal disc-derived wing hair elongation"
"GO:0072022","descending thin limb development"
"GO:0043044","ATP-dependent chromatin remodeling"
"GO:0031297","replication fork processing"
"GO:0007537","inactivation of recombination (HML)"
"GO:0014829","vascular smooth muscle contraction"
"GO:1903793","positive regulation of anion transport"
"GO:0007199","G-protein coupled receptor signaling pathway coupled to cGMP nucleotide second messenger"
"GO:0048289","isotype switching to IgE isotypes"
"GO:0072520","seminiferous tubule development"
"GO:0021765","cingulate gyrus development"
"GO:0035280","miRNA loading onto RISC involved in gene silencing by miRNA"
"GO:2001263","regulation of C-C chemokine binding"
"GO:0071440","regulation of histone H3-K14 acetylation"
"GO:0051695","actin filament uncapping"
"GO:0006743","ubiquinone metabolic process"
"GO:0007496","anterior midgut development"
"GO:0021890","olfactory bulb interneuron fate commitment"
"GO:0033686","positive regulation of luteinizing hormone secretion"
"GO:2000554","regulation of T-helper 1 cell cytokine production"
"GO:0071910","determination of liver left/right asymmetry"
"GO:0001188","RNA polymerase I transcriptional preinitiation complex assembly"
"GO:0007124","pseudohyphal growth"
"GO:1901810","beta-carotene metabolic process"
"GO:0008150","biological_process"
"GO:2000824","negative regulation of androgen receptor activity"
"GO:0009110","vitamin biosynthetic process"
"GO:0033566","gamma-tubulin complex localization"
"GO:0061040","female gonad morphogenesis"
"GO:0060964","regulation of gene silencing by miRNA"
"GO:0001702","gastrulation with mouth forming second"
"GO:0061709","reticulophagy"
"GO:0072134","nephrogenic mesenchyme morphogenesis"
"GO:0032206","positive regulation of telomere maintenance"
"GO:0043313","regulation of neutrophil degranulation"
"GO:1900130","regulation of lipid binding"
"GO:0080163","regulation of protein serine/threonine phosphatase activity"
"GO:2001137","positive regulation of endocytic recycling"
"GO:0010098","suspensor development"
"GO:0046855","inositol phosphate dephosphorylation"
"GO:0050953","sensory perception of light stimulus"
"GO:0043615","astrocyte cell migration"
"GO:1903931","positive regulation of pyrimidine-containing compound salvage"
"GO:0032508","DNA duplex unwinding"
"GO:0046856","phosphatidylinositol dephosphorylation"
"GO:1904819","parietal peritoneum development"
"GO:0000335","negative regulation of transposition, DNA-mediated"
"GO:0000723","telomere maintenance"
"GO:0032909","regulation of transforming growth factor beta2 production"
"GO:0050968","detection of chemical stimulus involved in sensory perception of pain"
"GO:0060956","endocardial cell differentiation"
"GO:0060972","left/right pattern formation"
"GO:1904506","negative regulation of telomere maintenance in response to DNA damage"
"GO:0097738","substrate mycelium formation"
"GO:0001998","angiotensin-mediated vasoconstriction involved in regulation of systemic arterial blood pressure"
"GO:0098586","cellular response to virus"
"GO:0043554","aerobic respiration, using arsenite as electron donor"
"GO:0003341","cilium movement"
"GO:0070327","thyroid hormone transport"
"GO:2001259","positive regulation of cation channel activity"
"GO:1903700","caecum development"
"GO:0006565","L-serine catabolic process"
"GO:0002641","negative regulation of immunoglobulin biosynthetic process"
"GO:0033341","regulation of collagen binding"
"GO:0040032","post-embryonic body morphogenesis"
"GO:0045071","negative regulation of viral genome replication"
"GO:0006356","regulation of transcription by RNA polymerase I"
"GO:0061808","negative regulation of DNA recombination at centromere"
"GO:0003356","regulation of cilium beat frequency"
"GO:0031053","primary miRNA processing"
"GO:0070640","vitamin D3 metabolic process"
"GO:0071559","response to transforming growth factor beta"
"GO:0010614","negative regulation of cardiac muscle hypertrophy"
"GO:0070788","conidiophore stalk development"
"GO:0033301","cell cycle comprising mitosis without cytokinesis"
"GO:0051135","positive regulation of NK T cell activation"
"GO:0044458","motile cilium assembly"
"GO:0072051","juxtaglomerular apparatus development"
"GO:1903577","cellular response to L-arginine"
"GO:0039506","modulation by virus of host molecular function"
"GO:2001273","regulation of glucose import in response to insulin stimulus"
"GO:0048480","stigma development"
"GO:0039703","RNA replication"
"GO:0045910","negative regulation of DNA recombination"
"GO:0046881","positive regulation of follicle-stimulating hormone secretion"
"GO:0036159","inner dynein arm assembly"
"GO:0061869","regulation of hepatic stellate cell migration"
"GO:0042742","defense response to bacterium"
"GO:0055081","anion homeostasis"
"GO:1905049","negative regulation of metallopeptidase activity"
"GO:0003220","left ventricular cardiac muscle tissue morphogenesis"
"GO:0035469","determination of pancreatic left/right asymmetry"
"GO:0010569","regulation of double-strand break repair via homologous recombination"
"GO:0048290","isotype switching to IgA isotypes"
"GO:0075733","intracellular transport of virus"
"GO:1904535","positive regulation of telomeric loop disassembly"
"GO:0008654","phospholipid biosynthetic process"
"GO:1903584","regulation of histone deubiquitination"
