prefix	MIM_number	preferred_title	alternative_title	symbols	neo4j_id
Percent	102100	ACROMEGALOID CHANGES, CUTIS VERTICIS GYRATA, AND CORNEAL LEUKOMA	ROSENTHAL-KLOEPFER SYNDROME		850033
Percent	102150	ACROMEGALOID FACIAL APPEARANCE SYNDROME	AFA SYNDROME;; THICK LIPS AND ORAL MUCOSA		828263
Number Sign	102200	PITUITARY ADENOMA 1, MULTIPLE TYPES; PITA1	SOMATOTROPINOMA, FAMILIAL ISOLATED; FIS;; ISOLATED FAMILIAL SOMATOTROPINOMA; IFS;; SOMATOTROPHINOMA, FAMILIAL;; ACROMEGALY DUE TO PITUITARY ADENOMA 1;; PAGH1	PITUITARY ADENOMA PREDISPOSITION, INCLUDED; PAP, INCLUDED;; PITUITARY ADENOMA, FAMILIAL ISOLATED, INCLUDED; FIPA, INCLUDED	7026
Percent	102300	RESTLESS LEGS SYNDROME, SUSCEPTIBILITY TO, 1; RLS1	ACROMELALGIA, HEREDITARY;; EKBOM SYNDROME		70587
Percent	102350	ACROMIAL DIMPLES	SUPRASPINOUS FOSSAE, CONGENITAL		827861
Number Sign	102370	ACROMICRIC DYSPLASIA; ACMICD			530676
NULL	102400	ACROOSTEOLYSIS			827713
Number Sign	102500	HAJDU-CHENEY SYNDROME; HJCYS	ACROOSTEOLYSIS WITH OSTEOPOROSIS AND CHANGES IN SKULL AND MANDIBLE;; CHENEY SYNDROME;; ARTHRODENTOOSTEODYSPLASIA;; SERPENTINE FIBULA-POLYCYSTIC KIDNEY SYNDROME; SFPKS		536183
Percent	102510	ACROPECTOROVERTEBRAL DYSPLASIA; ACRPV	F SYNDROME		851044
NULL	102520	ACRORENAL SYNDROME			827492
Number Sign	102530	SPERMATOGENIC FAILURE 6; SPGF6	GLOBOZOOSPERMIA;; ROUND-HEADED SPERMATOZOA;; SPERMATOZOA, ROUND-HEADED;; ACROSOME MALFORMATION OF SPERMATOZOA		495934
NULL	102590	ACYLASE, COBALT-ACTIVATED			827415
NULL	102650	ADACTYLIA, UNILATERAL	TERMINAL TRANSVERSE DEFECTS OF HAND, UNILATERAL		827233
NULL	102660	ADAMANTINOMA OF LONG BONES			827219
Number Sign	102700	SEVERE COMBINED IMMUNODEFICIENCY, AUTOSOMAL RECESSIVE, T CELL-NEGATIVE, B CELL-NEGATIVE, NK CELL-NEGATIVE, DUE TO ADENOSINE DEAMINASE DEFICIENCY	SCID DUE TO ADA DEFICIENCY;; ADA-SCID;; SCID DUE TO ADA DEFICIENCY, EARLY-ONSET	SCID DUE TO ADA DEFICIENCY, DELAYED ONSET, INCLUDED;; SCID DUE TO ADA DEFICIENCY, LATE-ONSET, INCLUDED;; ADENOSINE DEAMINASE DEFICIENCY, PARTIAL, INCLUDED;; PARTIAL ADA DEFICIENCY, INCLUDED	7494
NULL	102730	ADENOSINE DEAMINASE, ELEVATED, HEMOLYTIC ANEMIA DUE TO			827018
Percent	102800	ADENOSINE TRIPHOSPHATASE DEFICIENCY, ANEMIA DUE TO			826771
Number Sign	102900	ADENOSINE TRIPHOSPHATE, ELEVATED, OF ERYTHROCYTES	PYRUVATE KINASE HYPERACTIVITY		517931
Number Sign	103050	ADENYLOSUCCINASE DEFICIENCY; ADSLD	ADENYLOSUCCINATE LYASE DEFICIENCY;; ADSL DEFICIENCY		528285
Number Sign	103100	ADIE PUPIL	ADIE SYNDROME;; POORLY REACTING PUPILS	HOLMES-ADIE SYNDROME, INCLUDED	828102
Percent	103200	ADIPOSIS DOLOROSA	DERCUM DISEASE		832709
NULL	103230	ADRENOCORTICAL HYPOFUNCTION, CHRONIC PRIMARY CONGENITAL	ADDISON DISEASE, CONGENITAL		850001
Number Sign	103285	ADULT SYNDROME	ACRO-DERMATO-UNGUAL-LACRIMAL-TOOTH SYNDROME		8270
Percent	103300	HYPOGLOSSIA-HYPODACTYLIA	PEROMELIA WITH MICROGNATHISM;; OROMANDIBULAR LIMB HYPOPLASIA;; AGLOSSIA-ADACTYLIA	HANHART SYNDROME, INCLUDED	637454
NULL	103400	AINHUM			833828
Percent	103420	ALACRIMA, CONGENITAL, AUTOSOMAL DOMINANT	ALACRIMIA CONGENITA, AUTOSOMAL DOMINANT		849503
Number Sign	103470	ALBINISM, OCULAR, WITH SENSORINEURAL DEAFNESS	WAARDENBURG SYNDROME, TYPE 2, WITH OCULAR ALBINISM, AUTOSOMAL RECESSIVE; WS2-OA		511082
Number Sign	103500	TIETZ ALBINISM-DEAFNESS SYNDROME; TADS	TIETZ SYNDROME;; ALBINISM-DEAFNESS OF TIETZ;; HYPOPIGMENTATION/DEAFNESS OF TIETZ		528017
Number Sign	103580	PSEUDOHYPOPARATHYROIDISM, TYPE IA; PHP1A	PHP IA;; ALBRIGHT HEREDITARY OSTEODYSTROPHY WITH MULTIPLE HORMONE RESISTANCE		70533
Number Sign	103780	ALCOHOL DEPENDENCE	ALCOHOLISM		505296
Number Sign	103900	HYPERALDOSTERONISM, FAMILIAL, TYPE I; HALD1	GLUCOCORTICOID-REMEDIABLE ALDOSTERONISM; GRA;; FH I;; GLUCOCORTICOID-SUPPRESSIBLE HYPERALDOSTERONISM; GSH;; ALDOSTERONISM, SENSITIVE TO DEXAMETHASONE;; ACTH-DEPENDENT HYPERALDOSTERONISM SYNDROME		538736
NULL	103920	ALLERGIC BRONCHOPULMONARY ASPERGILLOSIS, FAMILIAL			830411
Percent	104000	ALOPECIA AREATA 1; AA1		ALOPECIA UNIVERSALIS, INCLUDED; AU, INCLUDED	621537
Number Sign	104100	PALMOPLANTAR KERATODERMA AND CONGENITAL ALOPECIA 1; PPKCA1	PPKCA, STEVANOVIC TYPE;; KERATODERMA-HYPOTRICHOSIS-LEUKONYCHIA TOTALIS SYNDROME		522151
NULL	104110	ALOPECIA, FAMILIAL FOCAL; ALPF			596875
Percent	104130	ALOPECIA, PSYCHOMOTOR EPILEPSY, PYORRHEA, AND MENTAL SUBNORMALITY	SHOKEIR SYNDROME		597810
Number Sign	104200	ALPORT SYNDROME, AUTOSOMAL DOMINANT			6623
Number Sign	104290	ALTERNATING HEMIPLEGIA OF CHILDHOOD 1; AHC1			513894
Number Sign	104300	ALZHEIMER DISEASE; AD	PRESENILE AND SENILE DEMENTIA	ALZHEIMER DISEASE, FAMILIAL, 1, INCLUDED; AD1, INCLUDED;; ALZHEIMER DISEASE, EARLY-ONSET, WITH CEREBRAL AMYLOID ANGIOPATHY, INCLUDED;; ALZHEIMER DISEASE, PROTECTION AGAINST, INCLUDED	6403
Number Sign	104310	ALZHEIMER DISEASE 2; AD2	ALZHEIMER DISEASE 2, LATE-ONSET;; ALZHEIMER DISEASE ASSOCIATED WITH APOE4		535612
NULL	104350	AMASTIA, BILATERAL, WITH URETERAL TRIPLICATION AND DYSMORPHISM			840815
NULL	104400	AMELIA AND TERMINAL TRANSVERSE HEMIMELIA			837451
Number Sign	104500	AMELOGENESIS IMPERFECTA, TYPE IB; AI1B	AMELOGENESIS IMPERFECTA, HYPOPLASTIC LOCAL, AUTOSOMAL DOMINANT;; AIH2;; ENAMEL HYPOPLASIA, HEREDITARY LOCALIZED		516208
Number Sign	104510	AMELOGENESIS IMPERFECTA, TYPE IV; AI4	AMELOGENESIS IMPERFECTA, HYPOMATURATION-HYPOPLASTIC TYPE, WITH TAURODONTISM; AIHHT		540532
Number Sign	104530	AMELOGENESIS IMPERFECTA, TYPE IA; AI1A	AMELOGENESIS IMPERFECTA, HYPOPLASTIC TYPE IA		519498
Percent	104570	AMELOONYCHOHYPOHIDROTIC SYNDROME			840275
NULL	104600	AMENORRHEA-GALACTORRHEA SYNDROME			838185
Number Sign	105120	AMYLOIDOSIS, FINNISH TYPE	AMYLOIDOSIS V;; AMYLOIDOSIS, MERETOJA TYPE;; AMYLOID CRANIAL NEUROPATHY WITH LATTICE CORNEAL DYSTROPHY;; AMYLOIDOSIS DUE TO MUTANT GELSOLIN	CEREBRAL AMYLOID ANGIOPATHY, GSN-RELATED, INCLUDED;; CORNEAL DYSTROPHY, LATTICE TYPE II, INCLUDED; LCD2, INCLUDED;; LATTICE CORNEAL DYSTROPHY, TYPE II, INCLUDED	501124
Number Sign	105150	CEREBRAL AMYLOID ANGIOPATHY, CST3-RELATED	AMYLOIDOSIS, CEREBROARTERIAL, ICELANDIC TYPE;; AMYLOIDOSIS VI;; HEREDITARY CEREBRAL HEMORRHAGE WITH AMYLOIDOSIS; HCHWA;; CEREBRAL HEMORRHAGE, HEREDITARY, WITH AMYLOIDOSIS		539660
Number Sign	105200	AMYLOIDOSIS, FAMILIAL VISCERAL	AMYLOIDOSIS VIII;; OSTERTAG TYPE AMYLOIDOSIS;; GERMAN TYPE AMYLOIDOSIS;; AMYLOIDOSIS, FAMILIAL RENAL;; AMYLOIDOSIS, SYSTEMIC NONNEUROPATHIC		513664
Number Sign	105210	AMYLOIDOSIS, HEREDITARY, TRANSTHYRETIN-RELATED	HEREDITARY AMYLOIDOSIS, TRANSTHYRETIN-RELATED;; TRANSTHYRETIN AMYLOIDOSIS;; AMYLOID POLYNEUROPATHY, FAMILIAL; FAP	AMYLOIDOSIS, LEPTOMENINGEAL, TRANSTHYRETIN-RELATED, INCLUDED;; AMYLOID CARDIOMYOPATHY, TRANSTHYRETIN-RELATED, INCLUDED	7120
Number Sign	105250	AMYLOIDOSIS, PRIMARY LOCALIZED CUTANEOUS, 1; PLCA1	AMYLOIDOSIS, PRIMARY CUTANEOUS, 1; PCA1;; PCA;; LICHEN AMYLOIDOSIS, FAMILIAL;; AMYLOIDOSIS IX;; AMYLOIDOSIS, FAMILIAL CUTANEOUS LICHEN		534441
NULL	105300	AMYOTROPHIC DYSTONIC PARAPLEGIA			831732
Number Sign	105400	AMYOTROPHIC LATERAL SCLEROSIS 1; ALS1	AMYOTROPHIC LATERAL SCLEROSIS 1, FAMILIAL; FALS;; AMYOTROPHIC LATERAL SCLEROSIS 1, AUTOSOMAL DOMINANT	AMYOTROPHIC LATERAL SCLEROSIS 1, AUTOSOMAL RECESSIVE, INCLUDED;; AMYOTROPHIC LATERAL SCLEROSIS, SPORADIC, INCLUDED	7515
Number Sign	105500	AMYOTROPHIC LATERAL SCLEROSIS-PARKINSONISM/DEMENTIA COMPLEX 1	AMYOTROPHIC LATERAL SCLEROSIS-PARKINSONISM/DEMENTIA COMPLEX OF GUAM;; GUAM DISEASE;; ALS-PDC		500067
Number Sign	105550	FRONTOTEMPORAL DEMENTIA AND/OR AMYOTROPHIC LATERAL SCLEROSIS 1; FTDALS1	FRONTOTEMPORAL DEMENTIA AND/OR AMYOTROPHIC LATERAL SCLEROSIS; FTDALS;; FRONTOTEMPORAL DEMENTIA AND/OR MOTOR NEURON DISEASE; FTDMND;; AMYOTROPHIC LATERAL SCLEROSIS AND/OR FRONTOTEMPORAL DEMENTIA; ALSFTD		6601
NULL	105563	ANAL SPHINCTER DYSPLASIA; ASDP			831184
NULL	105565	ANAL SPHINCTER MYOPATHY, INTERNAL	PROCTALGIA FUGAX DUE TO ANAL SPHINCTER MYOPATHY		831183
NULL	105580	ANAL CANAL CARCINOMA		CLOACOGENIC CARCINOMA, INCLUDED	831162
Percent	105600	ANEMIA, CONGENITAL DYSERYTHROPOIETIC, TYPE III; CDAN3	DYSERYTHROPOIETIC ANEMIA, CONGENITAL, TYPE III;; CDA III;; ANEMIA WITH MULTINUCLEATED ERYTHROBLASTS;; ERYTHRORETICULOSIS, HEREDITARY BENIGN		585413
Number Sign	105650	DIAMOND-BLACKFAN ANEMIA 1; DBA1	DBA;; BLACKFAN-DIAMOND SYNDROME; BDS;; ANEMIA, CONGENITAL HYPOPLASTIC, OF BLACKFAN AND DIAMOND;; ANEMIA, CONGENITAL ERYTHROID HYPOPLASTIC;; RED CELL APLASIA, PURE, HEREDITARY;; AREGENERATIVE ANEMIA, CHRONIC CONGENITAL;; ERYTHROGENESIS IMPERFECTA;; AASE-SMITH SYNDROME II;; AASE SYNDROME		7161
Percent	105800	ANEURYSM, INTRACRANIAL BERRY, 1; ANIB1	ANEURYSMAL SUBARACHNOID HEMORRHAGE, FAMILIAL		70600
NULL	105805	ANEURYSM OF INTERVENTRICULAR SEPTUM			830402
Number Sign	105830	ANGELMAN SYNDROME; AS	HAPPY PUPPET SYNDROME, FORMERLY	ANGELMAN SYNDROME CHROMOSOME REGION, INCLUDED; ANCR, INCLUDED	7572
NULL	105835	ANGEL-SHAPED PHALANGOEPIPHYSEAL DYSPLASIA; ASPED			841821
NULL	106050	ANGIOMA SERPIGINOSUM, AUTOSOMAL DOMINANT			823801
Percent	106070	ANGIOMA, HEREDITARY NEUROCUTANEOUS		SPINAL ARTERIAL VENOUS MALFORMATIONS WITH CUTANEOUS HEMANGIOMAS, INCLUDED;; HEMANGIOMATOSIS, DISSEMINATED, INCLUDED	823788
Number Sign	106100	ANGIOEDEMA, HEREDITARY, TYPE I; HAE1	ANGIONEUROTIC EDEMA, HEREDITARY; HANE;; C1 ESTERASE INHIBITOR, DEFICIENCY OF	ANGIOEDEMA, HEREDITARY, TYPE II, INCLUDED; HAE2, INCLUDED	540816
Number Sign	106190	ANHIDROSIS, ISOLATED, WITH NORMAL SWEAT GLANDS; ANHD	DANN-EPSTEIN-SOHAR SYNDROME		518121
Number Sign	106210	ANIRIDIA 1; AN1	AN;; ANIRIDIA II, FORMERLY; AN2, FORMERLY	CATARACT, CONGENITAL, WITH LATE-ONSET CORNEAL DYSTROPHY, INCLUDED	7653
NULL	106220	ANIRIDIA AND ABSENT PATELLA			825062
NULL	106230	ANIRIDIA, MICROCORNEA, AND SPONTANEOUSLY REABSORBED CATARACT			823358
NULL	106240	ANISOCORIA			638997
NULL	106250	ANKYLOBLEPHARON FILIFORME ADNATUM AND CLEFT PALATE; AFA			638882
Number Sign	106260	ANKYLOBLEPHARON-ECTODERMAL DEFECTS-CLEFT LIP/PALATE	AEC SYNDROME;; HAY-WELLS SYNDROME		7800
NULL	106280	ANKYLOGLOSSIA	'TONGUE-TIE'		823320
Number Sign	106300	SPONDYLOARTHROPATHY, SUSCEPTIBILITY TO, 1; SPDA1	ANKYLOSING SPONDYLITIS, SUSCEPTIBILITY TO;; MARIE-STRUMPELL SPONDYLITIS;; BECHTEREW SYNDROME		507169
NULL	106400	ANKYLOSING VERTEBRAL HYPEROSTOSIS WITH TYLOSIS		DIFFUSE IDIOPATHIC SKELETAL HYPEROSTOSIS, INCLUDED; DISH, INCLUDED	623504
NULL	106500	ANNULAR ERYTHEMA			822709
Number Sign	106600	TOOTH AGENESIS, SELECTIVE, 1; STHAG1	HYPODONTIA/OLIGODONTIA 1; HYD1;; SECOND PREMOLARS AND THIRD MOLARS, ABSENCE OF;; TOOTH AGENESIS, FAMILIAL	TOOTH AGENESIS, SELECTIVE, WITH OROFACIAL CLEFT, INCLUDED;; HYPODONTIA/OLIGODONTIA WITH OROFACIAL CLEFT, INCLUDED	521215
Percent	106700	TOTAL ANOMALOUS PULMONARY VENOUS RETURN 1; TAPVR1	ANOMALOUS PULMONARY VENOUS RETURN; APVR;; SCIMITAR SYNDROME;; SCIMITAR ANOMALY		827904
NULL	106750	ANONYCHIA WITH FLEXURAL PIGMENTATION			821978
NULL	106900	ANONYCHIA-ECTRODACTYLY			638192
NULL	106990	ANONYCHIA-ONYCHODYSTROPHY WITH BRACHYDACTYLY TYPE B AND ECTRODACTYLY			638036
Percent	106995	ANONYCHIA-ONYCHODYSTROPHY WITH HYPOPLASIA OR ABSENCE OF DISTAL PHALANGES	COOKS SYNDROME		828915
Percent	107000	NAIL DISORDER, NONSYNDROMIC CONGENITAL, 6; NDNC6	ANONYCHIA/HYPONYCHIA AND ONYCHODYSTROPHY;; ANONYCHIA, PARTIAL		820349
Percent	107100	ANORECTAL ANOMALIES			845103
Percent	107200	ANOSMIA, ISOLATED CONGENITAL; ANIC	ANOSMIA, CONGENITAL		842778
Number Sign	107250	ANTERIOR SEGMENT DYSGENESIS 1; ASGD1	ANTERIOR SEGMENT MESENCHYMAL DYSGENESIS; ASMD;; ANTERIOR SEGMENT OCULAR DYSGENESIS; ASOD		515155
Percent	107290	ANTIPYRINE METABOLISM			844838
NULL	107320	ANTIPHOSPHOLIPID SYNDROME, FAMILIAL	LUPUS ANTICOAGULANT, FAMILIAL		844657
NULL	107440	ANTIVIRAL STATE REPRESSOR, REGULATOR OF; AVRR			833585
Number Sign	107480	TOWNES-BROCKS SYNDROME 1; TBS1	RENAL-EAR-ANAL-RADIAL SYNDROME;; REAR SYNDROME;; ANUS, IMPERFORATE, WITH HAND, FOOT, AND EAR ANOMALIES;; DEAFNESS, SENSORINEURAL, WITH IMPERFORATE ANUS AND THUMB ANOMALIES	TOWNES-BROCKS-BRANCHIOOTORENAL-LIKE SYNDROME, INCLUDED	7243
NULL	107500	AORTIC ARCH ANOMALY WITH PECULIAR FACIES AND MENTAL RETARDATION			844355
NULL	107550	AORTIC ARCH INTERRUPTION, FACIAL PALSY, AND RETINAL COLOBOMA			844086
Number Sign	107600	APLASIA CUTIS CONGENITA, NONSYNDROMIC; ACC	CONGENITAL DEFECT OF SKULL AND SCALP;; SCALP DEFECT, CONGENITAL		524239
NULL	107640	APNEA, CENTRAL SLEEP			843836
Percent	107650	APNEA, OBSTRUCTIVE SLEEP	OSA;; OBSTRUCTIVE SLEEP APNEA SYNDROME; OSAS;; SLEEP APNEA/HYPOPNEA SYNDROME; SAHS; OSAHS		843827
NULL	107700	APPENDICITIS, PRONENESS TO			843595
Number Sign	107750	ARBITRARY RESTRICTION POLYMORPHISM 1	ANONYMOUS RESTRICTION POLYMORPHISM 1; ARP1;; RESTRICTION FRAGMENT LENGTH POLYMORPHISM 14A;; RFLP-14A;; ARP-14A; D14S1		843549
NULL	107800	ARCUS CORNEAE	CORNEAL ARCUS;; ARCUS SENILIS		843340
NULL	107900	ARMS, MALFORMATION OF			843043
Number Sign	107970	ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLASIA, FAMILIAL, 1; ARVD1	ARRHYTHMOGENIC RIGHT VENTRICULAR CARDIOMYOPATHY 1; ARVC1	UHL ANOMALY, INCLUDED;; CARDIOMYOPATHY, RIGHT VENTRICULAR DILATED, INCLUDED	7698
NULL	108000	ARTERIES, ANOMALIES OF			836565
Number Sign	108010	ARTERIOVENOUS MALFORMATIONS OF THE BRAIN	BAVM;; CEREBRAL ARTERIOVENOUS MALFORMATIONS	INTRACRANIAL HEMORRHAGE IN BRAIN ARTERIOVENOUS MALFORMATIONS, SUSCEPTIBILITY TO, INCLUDED	70557
NULL	108050	ARTERITIS, FAMILIAL GRANULOMATOUS, WITH JUVENILE POLYARTHRITIS			836524
NULL	108100	ARTHRITIS, SACROILIAC			638826
Number Sign	108120	ARTHROGRYPOSIS, DISTAL, TYPE 1A; DA1A	ARTHROGRYPOSIS, DISTAL, TYPE 1; DA1;; ARTHROGRYPOSIS MULTIPLEX CONGENITA, DISTAL, TYPE I; AMCD1		538184
Number Sign	108145	ARTHROGRYPOSIS, DISTAL, TYPE 5; DA5	ARTHROGRYPOSIS WITH OCULOMOTOR LIMITATION AND ELECTRORETINAL ABNORMALITIES;; OCULOMELIC AMYOPLASIA;; ARTHROGRYPOSIS, DISTAL, TYPE IIB; DAIIB		527843
NULL	108200	ARTHROGRYPOSIS, DISTAL, TYPE 6; DA6	ARTHROGRYPOSIS AND SENSORINEURAL DEAFNESS		829705
Number Sign	108300	STICKLER SYNDROME, TYPE I; STL1	STICKLER SYNDROME, VITREOUS TYPE 1;; STICKLER SYNDROME, MEMBRANOUS VITREOUS TYPE;; ARTHROOPHTHALMOPATHY, HEREDITARY PROGRESSIVE; AOM		7266
Percent	108420	SPERMATOGENIC FAILURE 2; SPGF2	ASPERMIOGENESIS FACTOR; ASG		821223
NULL	108450	ASYMMETRIC SHORT STATURE SYNDROME			835468
Number Sign	108500	EPISODIC ATAXIA, TYPE 2; EA2	ATAXIA, EPISODIC, WITH NYSTAGMUS;; EPISODIC ATAXIA, NYSTAGMUS-ASSOCIATED;; CEREBELLOPATHY, HEREDITARY PAROXYSMAL;; ATAXIA, FAMILIAL PAROXYSMAL;; ACETAZOLAMIDE-RESPONSIVE HEREDITARY PAROXYSMAL CEREBELLAR ATAXIA; APCA;; CEREBELLAR ATAXIA, PAROXYSMAL, ACETAZOLAMIDE-RESPONSIVE; CAPA		8217
Number Sign	108600	SPASTIC ATAXIA 1, AUTOSOMAL DOMINANT; SPAX1			528554
Percent	108650	SPASTIC ATAXIA 7, AUTOSOMAL DOMINANT; SPAX7	SPASTIC ATAXIA WITH CONGENITAL MIOSIS;; MIOSIS, CONGENITAL, WITH SPASTIC ATAXIA		633550
NULL	108700	ATAXIA WITH FASCICULATIONS			834425
Number Sign	108720	ATELOSTEOGENESIS, TYPE I; AO1	AOI;; GIANT CELL CHONDRODYSPLASIA;; SPONDYLOHUMEROFEMORAL HYPOPLASIA		7117
Number Sign	108721	ATELOSTEOGENESIS, TYPE III; AO3	AOIII		7112
Percent	108725	ATHEROSCLEROSIS SUSCEPTIBILITY; ATHS	ATHEROGENIC LIPOPROTEIN PHENOTYPE; ALP		638769
Percent	108760	ATRESIA OF EXTERNAL AUDITORY CANAL AND CONDUCTIVE DEAFNESS			834379
Number Sign	108770	ATRIAL STANDSTILL 1; ATRST1	ATRIAL CARDIOMYOPATHY WITH HEART BLOCK;; CARDIOMYOPATHY, FAMILIAL, WITH CONDUCTION DISTURBANCE		537406
Percent	108800	ATRIAL SEPTAL DEFECT 1; ASD1	ASD	ATRIAL SEPTAL DEFECT, PRIMUM TYPE, INCLUDED;; ASD I, INCLUDED;; ATRIAL SEPTAL DEFECT, SECUNDUM TYPE, INCLUDED;; ASD II, INCLUDED	637812
Number Sign	108900	ATRIAL SEPTAL DEFECT 7 WITH OR WITHOUT ATRIOVENTRICULAR CONDUCTION DEFECTS; ASD7	ASD WITH OR WITHOUT ATRIOVENTRICULAR CONDUCTION DEFECTS		496001
NULL	108950	ATRIAL TACHYARRHYTHMIA WITH SHORT PR INTERVAL			833782
Percent	108980	PR INTERVAL, VARIATION IN	ATRIOVENTRICULAR CONDUCTION TIME, VARIATION IN		833756
Number Sign	108985	SVEINSSON CHORIORETINAL ATROPHY; SCRA	ATROPHIA AREATA; AA;; PERIPAPILLARY CHORIORETINAL DEGENERATION, ICELANDIC TYPE;; HELICOIDAL PERIPAPILLARY CHORIORETINAL DEGENERATION; HPCD		534351
Percent	109000	AURICULOOSTEODYSPLASIA			827913
NULL	109050	AUROCEPHALOSYNDACTYLY	AURALCEPHALOSYNDACTYLY		827892
Number Sign	109100	AUTOIMMUNE DISEASE			827732
NULL	109120	AXENFELD-RIEGER ANOMALY WITH PARTIALLY ABSENT EYE MUSCLES, DISTINCTIVE FACE, HYDROCEPHALY, AND SKELETAL ABNORMALITIES	DE HAUWERE SYNDROME;; IRIS DYSPLASIA WITH OCULAR HYPERTELORISM, PSYCHOMOTOR RETARDATION, AND SENSORINEURAL DEAFNESS		827718
NULL	109130	AXIAL OSTEOMALACIA			827714
Number Sign	109150	MACHADO-JOSEPH DISEASE; MJD	SPINOCEREBELLAR ATAXIA 3; SCA3;; SPINOCEREBELLAR ATROPHY III;; AZOREAN NEUROLOGIC DISEASE;; SPINOPONTINE ATROPHY;; NIGROSPINODENTATAL DEGENERATION		6197
Percent	109160	AZOTEMIA, FAMILIAL			827697
Percent	109200	ALOPECIA, ANDROGENETIC, 1; AGA1	ANDROGENETIC ALOPECIA; AGA	BALDNESS, MALE PATTERN, INCLUDED; MPB, INCLUDED	820444
NULL	109300	BANKI SYNDROME			827316
Percent	109350	GASTROESOPHAGEAL REFLUX; GER	GASTROESOPHAGEAL REFLUX DISEASE; GERD;; GASTROESOPHAGEAL REFLUX, PEDIATRIC		851363
Number Sign	109400	BASAL CELL NEVUS SYNDROME; BCNS	GORLIN SYNDROME;; GORLIN-GOLTZ SYNDROME;; NEVOID BASAL CELL CARCINOMA SYNDROME; NBCCS;; MULTIPLE BASAL CELL NEVI, ODONTOGENIC KERATOCYSTS, AND SKELETAL ANOMALIES		8431
Percent	109500	BASILAR IMPRESSION, PRIMARY			572373
