prefix	MIM_number	preferred_title	alternative_title	symbols
Number Sign	106190	ANHIDROSIS, ISOLATED, WITH NORMAL SWEAT GLANDS; ANHD	DANN-EPSTEIN-SOHAR SYNDROME	
Number Sign	106210	ANIRIDIA 1; AN1	AN;; ANIRIDIA II, FORMERLY; AN2, FORMERLY	CATARACT, CONGENITAL, WITH LATE-ONSET CORNEAL DYSTROPHY, INCLUDED
NULL	106220	ANIRIDIA AND ABSENT PATELLA		
NULL	106230	ANIRIDIA, MICROCORNEA, AND SPONTANEOUSLY REABSORBED CATARACT		
NULL	106240	ANISOCORIA		
NULL	106250	ANKYLOBLEPHARON FILIFORME ADNATUM AND CLEFT PALATE; AFA		
Number Sign	106260	ANKYLOBLEPHARON-ECTODERMAL DEFECTS-CLEFT LIP/PALATE	AEC SYNDROME;; HAY-WELLS SYNDROME	
NULL	106280	ANKYLOGLOSSIA	'TONGUE-TIE'	
Number Sign	106300	SPONDYLOARTHROPATHY, SUSCEPTIBILITY TO, 1; SPDA1	ANKYLOSING SPONDYLITIS, SUSCEPTIBILITY TO;; MARIE-STRUMPELL SPONDYLITIS;; BECHTEREW SYNDROME	
NULL	106400	ANKYLOSING VERTEBRAL HYPEROSTOSIS WITH TYLOSIS		DIFFUSE IDIOPATHIC SKELETAL HYPEROSTOSIS, INCLUDED; DISH, INCLUDED
NULL	106500	ANNULAR ERYTHEMA		
Number Sign	106600	TOOTH AGENESIS, SELECTIVE, 1; STHAG1	HYPODONTIA/OLIGODONTIA 1; HYD1;; SECOND PREMOLARS AND THIRD MOLARS, ABSENCE OF;; TOOTH AGENESIS, FAMILIAL	TOOTH AGENESIS, SELECTIVE, WITH OROFACIAL CLEFT, INCLUDED;; HYPODONTIA/OLIGODONTIA WITH OROFACIAL CLEFT, INCLUDED
Percent	106700	TOTAL ANOMALOUS PULMONARY VENOUS RETURN 1; TAPVR1	ANOMALOUS PULMONARY VENOUS RETURN; APVR;; SCIMITAR SYNDROME;; SCIMITAR ANOMALY	
NULL	106750	ANONYCHIA WITH FLEXURAL PIGMENTATION		
NULL	106900	ANONYCHIA-ECTRODACTYLY		
NULL	106990	ANONYCHIA-ONYCHODYSTROPHY WITH BRACHYDACTYLY TYPE B AND ECTRODACTYLY		
Percent	106995	ANONYCHIA-ONYCHODYSTROPHY WITH HYPOPLASIA OR ABSENCE OF DISTAL PHALANGES	COOKS SYNDROME	
Percent	107000	NAIL DISORDER, NONSYNDROMIC CONGENITAL, 6; NDNC6	ANONYCHIA/HYPONYCHIA AND ONYCHODYSTROPHY;; ANONYCHIA, PARTIAL	
Percent	107100	ANORECTAL ANOMALIES		
Percent	107200	ANOSMIA, ISOLATED CONGENITAL; ANIC	ANOSMIA, CONGENITAL	
Number Sign	107250	ANTERIOR SEGMENT DYSGENESIS 1; ASGD1	ANTERIOR SEGMENT MESENCHYMAL DYSGENESIS; ASMD;; ANTERIOR SEGMENT OCULAR DYSGENESIS; ASOD	
Percent	107290	ANTIPYRINE METABOLISM		
NULL	107320	ANTIPHOSPHOLIPID SYNDROME, FAMILIAL	LUPUS ANTICOAGULANT, FAMILIAL	
NULL	107410	SERPIN PEPTIDASE INHIBITOR, CLADE A, MEMBER 2, PSEUDOGENE; SERPINA2P	PROTEASE INHIBITOR 1-LIKE; PIL;; ANTITRYPSIN-RELATED PROTEIN; ATR;; ALPHA-1-ANTITRYPSIN-RELATED GENE SEQUENCE; ARGS;; SERPINA2	
NULL	107440	ANTIVIRAL STATE REPRESSOR, REGULATOR OF; AVRR		
Number Sign	107480	TOWNES-BROCKS SYNDROME 1; TBS1	RENAL-EAR-ANAL-RADIAL SYNDROME;; REAR SYNDROME;; ANUS, IMPERFORATE, WITH HAND, FOOT, AND EAR ANOMALIES;; DEAFNESS, SENSORINEURAL, WITH IMPERFORATE ANUS AND THUMB ANOMALIES	TOWNES-BROCKS-BRANCHIOOTORENAL-LIKE SYNDROME, INCLUDED
NULL	107500	AORTIC ARCH ANOMALY WITH PECULIAR FACIES AND MENTAL RETARDATION		
NULL	107550	AORTIC ARCH INTERRUPTION, FACIAL PALSY, AND RETINAL COLOBOMA		
Number Sign	107600	APLASIA CUTIS CONGENITA, NONSYNDROMIC; ACC	CONGENITAL DEFECT OF SKULL AND SCALP;; SCALP DEFECT, CONGENITAL	
NULL	107640	APNEA, CENTRAL SLEEP		
Percent	107650	APNEA, OBSTRUCTIVE SLEEP	OSA;; OBSTRUCTIVE SLEEP APNEA SYNDROME; OSAS;; SLEEP APNEA/HYPOPNEA SYNDROME; SAHS; OSAHS	
NULL	107700	APPENDICITIS, PRONENESS TO		
Number Sign	107750	ARBITRARY RESTRICTION POLYMORPHISM 1	ANONYMOUS RESTRICTION POLYMORPHISM 1; ARP1;; RESTRICTION FRAGMENT LENGTH POLYMORPHISM 14A;; RFLP-14A;; ARP-14A; D14S1	
NULL	107800	ARCUS CORNEAE	CORNEAL ARCUS;; ARCUS SENILIS	
NULL	107850	ARM FOLDING PREFERENCE		
NULL	107900	ARMS, MALFORMATION OF		
NULL	107920	AROMATIC ALPHA-KETO ACID REDUCTASE	ALPHA-KETO ACID REDUCTASE; KAR	
Number Sign	107970	ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLASIA, FAMILIAL, 1; ARVD1	ARRHYTHMOGENIC RIGHT VENTRICULAR CARDIOMYOPATHY 1; ARVC1	UHL ANOMALY, INCLUDED;; CARDIOMYOPATHY, RIGHT VENTRICULAR DILATED, INCLUDED
NULL	108000	ARTERIES, ANOMALIES OF		
Number Sign	108010	ARTERIOVENOUS MALFORMATIONS OF THE BRAIN	BAVM;; CEREBRAL ARTERIOVENOUS MALFORMATIONS	INTRACRANIAL HEMORRHAGE IN BRAIN ARTERIOVENOUS MALFORMATIONS, SUSCEPTIBILITY TO, INCLUDED
NULL	108050	ARTERITIS, FAMILIAL GRANULOMATOUS, WITH JUVENILE POLYARTHRITIS		
NULL	108100	ARTHRITIS, SACROILIAC		
Number Sign	108120	ARTHROGRYPOSIS, DISTAL, TYPE 1A; DA1A	ARTHROGRYPOSIS, DISTAL, TYPE 1; DA1;; ARTHROGRYPOSIS MULTIPLEX CONGENITA, DISTAL, TYPE I; AMCD1	
Number Sign	108145	ARTHROGRYPOSIS, DISTAL, TYPE 5; DA5	ARTHROGRYPOSIS WITH OCULOMOTOR LIMITATION AND ELECTRORETINAL ABNORMALITIES;; OCULOMELIC AMYOPLASIA;; ARTHROGRYPOSIS, DISTAL, TYPE IIB; DAIIB	
NULL	108200	ARTHROGRYPOSIS, DISTAL, TYPE 6; DA6	ARTHROGRYPOSIS AND SENSORINEURAL DEAFNESS	
Number Sign	108300	STICKLER SYNDROME, TYPE I; STL1	STICKLER SYNDROME, VITREOUS TYPE 1;; STICKLER SYNDROME, MEMBRANOUS VITREOUS TYPE;; ARTHROOPHTHALMOPATHY, HEREDITARY PROGRESSIVE; AOM	
NULL	108320	ARTICHOKE, MODIFICATION OF TASTE BY		
Percent	108340	ARYL HYDROCARBON HYDROXYLASE INDUCIBILITY	AHH INDUCIBILITY; AHHI	
Percent	108390	ASPARAGUS, SPECIFIC SMELL HYPERSENSITIVITY		
Percent	108420	SPERMATOGENIC FAILURE 2; SPGF2	ASPERMIOGENESIS FACTOR; ASG	
NULL	108450	ASYMMETRIC SHORT STATURE SYNDROME		
Number Sign	108500	EPISODIC ATAXIA, TYPE 2; EA2	ATAXIA, EPISODIC, WITH NYSTAGMUS;; EPISODIC ATAXIA, NYSTAGMUS-ASSOCIATED;; CEREBELLOPATHY, HEREDITARY PAROXYSMAL;; ATAXIA, FAMILIAL PAROXYSMAL;; ACETAZOLAMIDE-RESPONSIVE HEREDITARY PAROXYSMAL CEREBELLAR ATAXIA; APCA;; CEREBELLAR ATAXIA, PAROXYSMAL, ACETAZOLAMIDE-RESPONSIVE; CAPA	
Number Sign	108600	SPASTIC ATAXIA 1, AUTOSOMAL DOMINANT; SPAX1		
Percent	108650	SPASTIC ATAXIA 7, AUTOSOMAL DOMINANT; SPAX7	SPASTIC ATAXIA WITH CONGENITAL MIOSIS;; MIOSIS, CONGENITAL, WITH SPASTIC ATAXIA	
NULL	108700	ATAXIA WITH FASCICULATIONS		
Number Sign	108720	ATELOSTEOGENESIS, TYPE I; AO1	AOI;; GIANT CELL CHONDRODYSPLASIA;; SPONDYLOHUMEROFEMORAL HYPOPLASIA	
Number Sign	108721	ATELOSTEOGENESIS, TYPE III; AO3	AOIII	
Percent	108725	ATHEROSCLEROSIS SUSCEPTIBILITY; ATHS	ATHEROGENIC LIPOPROTEIN PHENOTYPE; ALP	
Percent	108760	ATRESIA OF EXTERNAL AUDITORY CANAL AND CONDUCTIVE DEAFNESS		
Number Sign	108770	ATRIAL STANDSTILL 1; ATRST1	ATRIAL CARDIOMYOPATHY WITH HEART BLOCK;; CARDIOMYOPATHY, FAMILIAL, WITH CONDUCTION DISTURBANCE	
Percent	108800	ATRIAL SEPTAL DEFECT 1; ASD1	ASD	ATRIAL SEPTAL DEFECT, PRIMUM TYPE, INCLUDED;; ASD I, INCLUDED;; ATRIAL SEPTAL DEFECT, SECUNDUM TYPE, INCLUDED;; ASD II, INCLUDED
Number Sign	108900	ATRIAL SEPTAL DEFECT 7 WITH OR WITHOUT ATRIOVENTRICULAR CONDUCTION DEFECTS; ASD7	ASD WITH OR WITHOUT ATRIOVENTRICULAR CONDUCTION DEFECTS	
NULL	108950	ATRIAL TACHYARRHYTHMIA WITH SHORT PR INTERVAL		
Percent	108980	PR INTERVAL, VARIATION IN	ATRIOVENTRICULAR CONDUCTION TIME, VARIATION IN	
Number Sign	108985	SVEINSSON CHORIORETINAL ATROPHY; SCRA	ATROPHIA AREATA; AA;; PERIPAPILLARY CHORIORETINAL DEGENERATION, ICELANDIC TYPE;; HELICOIDAL PERIPAPILLARY CHORIORETINAL DEGENERATION; HPCD	
Percent	109000	AURICULOOSTEODYSPLASIA		
NULL	109050	AUROCEPHALOSYNDACTYLY	AURALCEPHALOSYNDACTYLY	
Number Sign	109100	AUTOIMMUNE DISEASE		
NULL	109120	AXENFELD-RIEGER ANOMALY WITH PARTIALLY ABSENT EYE MUSCLES, DISTINCTIVE FACE, HYDROCEPHALY, AND SKELETAL ABNORMALITIES	DE HAUWERE SYNDROME;; IRIS DYSPLASIA WITH OCULAR HYPERTELORISM, PSYCHOMOTOR RETARDATION, AND SENSORINEURAL DEAFNESS	
NULL	109130	AXIAL OSTEOMALACIA		
Number Sign	109150	MACHADO-JOSEPH DISEASE; MJD	SPINOCEREBELLAR ATAXIA 3; SCA3;; SPINOCEREBELLAR ATROPHY III;; AZOREAN NEUROLOGIC DISEASE;; SPINOPONTINE ATROPHY;; NIGROSPINODENTATAL DEGENERATION	
Percent	109160	AZOTEMIA, FAMILIAL		
NULL	109180	BABOON M7 VIRUS INTEGRATION SITE; BEVI		
Percent	109200	ALOPECIA, ANDROGENETIC, 1; AGA1	ANDROGENETIC ALOPECIA; AGA	BALDNESS, MALE PATTERN, INCLUDED; MPB, INCLUDED
NULL	109300	BANKI SYNDROME		
Percent	109350	GASTROESOPHAGEAL REFLUX; GER	GASTROESOPHAGEAL REFLUX DISEASE; GERD;; GASTROESOPHAGEAL REFLUX, PEDIATRIC	
